@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1013 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.155738,0,0,0.004926,0,0,0,0.326493,0.340368,0.383764,0
9,0,0,0,0,0.024194,0,0,0,0.452180,0.468328,0.535538,0
9,0,0.046434,0,0,0.004983,0,0,0,0.537150,0.568872,0.657264,0
9,0.001167,0.002334,0,0,0.007009,0,0,0,0.749170,0.801247,0.931108,0
9,0,0.005587,0,0,0.02809,0,0,0,0.573448,0.603355,0.699149,0
9,0,0.057301,0,0,0.024074,0,0,0,0.216987,0.219716,0.238660,0
9,0,0.06,0,0,0.020202,0,0,0,0.325904,0.337396,0.383080,0
9,0,0.051178,0,0,0.006065,0,0,0,0.666907,0.710989,0.825421,2
9,0,0.005641,0,0,0.003226,0,0,0,0.793173,0.849013,0.987194,1
9,0,0,0,0,0.029557,0,0,0,0.623720,0.659303,0.764608,0
9,0,0.134165,0,0,0.023438,0,0,0,0.289429,0.302312,0.336572,0
9,0.017391,0.026087,0,0,0.026316,0,0,0,0.148375,0.147071,0.158576,0
9,0.003883,0.149515,0,0,0.007782,0,0,0,0.387113,0.406214,0.468338,0
9,0.016018,0.016018,0,0,0.003817,0,0,0,0.762986,0.817214,0.949986,0
9,0,0.010929,0,0,0.021978,0,0,0,0.607048,0.641357,0.743174,0
9,0,0.1171,0,0,0.029795,0,0,0,0.222696,0.226345,0.246829,0
9,0,0.105882,0,0,0.02381,0,0,0,0.234504,0.234997,0.264395,1
9,0.007987,0.111821,0,0,0.0064,0,0,0,0.382474,0.403908,0.463840,0
9,0,0.00365,0,0,0.01218,0,0,0,0.736719,0.786264,0.913400,0
9,0,0.011299,0,0,0,0,0,0,0.598818,0.634576,0.734674,0
9,0,0.123478,0,0,0.013937,0,0,0,0.312913,0.326117,0.365723,1
9,0.057143,0,0,0,0.009615,0,0,0,0.217824,0.229368,0.252105,0
9,0.01721,0.039855,0,0,0.00816,0,0,0,0.594319,0.633416,0.732177,0
9,0.013158,0.003947,0,0.001317,0.003292,0,0,0.000658,0.637258,0.682792,0.792148,1
9,0,0.00625,0,0,0.025157,0,0,0,0.585530,0.619186,0.716873,0
9,0.003866,0.060567,0,0,0.009032,0,0,0,0.252887,0.264575,0.293437,1
9,0.028037,0,0,0,0.037736,0,0,0,0.309235,0.315559,0.358599,0
9,0.013769,0.010327,0,0,0.008621,0,0,0,0.443179,0.468316,0.537437,0
9,0.001431,0,0,0,0.001433,0,0,0,0.810326,0.868610,1.010765,0
9,0,0,0,0,0.035088,0,0,0,0.612761,0.646547,0.749995,0
9,0,0.026549,0,0,0.014184,0,0,0,0.298648,0.309122,0.344959,0
