@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.002101,0.02381,0.004902,0,0.002102,0,0.783297,0.832773,0.961392,0
0,0.153846,0.016722,0,0,0,0.611942,0.640484,0.738115,0
0,0.131929,0.086475,0,0.067703,0,0.245150,0.247975,0.267833,0
0,0.166667,0.089286,0,0.041916,0,0.361637,0.372193,0.421965,0
0,0.059774,0.062601,0,0.01899,0,0.699970,0.740995,0.854281,2
0,0.012573,0.011122,0,0.006773,0,0.823614,0.876518,1.013110,1
0,0.141176,0,0,0.0059,0,0.657759,0.691115,0.796359,0
0,0.070159,0.173994,0,0.070225,0,0.313131,0.325559,0.360942,0
0.020833,0.182292,0.067708,0,0.020942,0,0.168516,0.167366,0.180954,0
0.004662,0.125874,0.168998,0,0.010502,0,0.426886,0.444542,0.507826,0
0.017849,0.010984,0.021053,0,0.005952,0,0.793696,0.845257,0.976547,0
0,0.140523,0.019608,0,0.003279,0,0.636899,0.668846,0.771359,0
0,0.103563,0.158129,0,0.061315,0,0.251069,0.255659,0.279417,0
0,0.253521,0.112676,0,0.014184,0,0.276571,0.276221,0.307433,1
0.010536,0.10728,0.125479,0,0.020134,0,0.416278,0.435710,0.496225,0
0,0.042305,0.009482,0,0.00146,0,0.768529,0.815464,0.941710,0
0,0.047297,0.02027,0,0.00339,0,0.626515,0.660587,0.760363,0
0,0.076121,0.179353,0,0.055324,0,0.333673,0.346135,0.387577,1
0.062857,0.051429,0.017143,0,0.045977,0,0.234240,0.245691,0.269738,0
0.019555,0.065725,0.051602,0,0.022826,0,0.627522,0.664563,0.762974,0
0.020916,0.011839,0.006709,0,0.004737,0,0.677563,0.721885,0.831629,1
0,0.070896,0.011194,0,0,0,0.614295,0.646371,0.744738,0
0.005414,0.071926,0.088167,0,0.065015,0,0.272640,0.284057,0.314740,1
0.02809,0.106742,0,0,0.011299,0,0.321578,0.327666,0.371246,0
0.016512,0.112487,0.023736,0,0.028926,0,0.478790,0.502358,0.571318,0
0.003431,0.011149,0.000858,0,0.002575,0,0.839901,0.895230,1.035307,0
0,0.184669,0,0,0,0,0.639917,0.670486,0.772754,0
0,0.099788,0.043524,0,0.059511,0,0.326319,0.336591,0.372265,0
0.088542,0.036458,0.026042,0,0.015707,0,0.216566,0.225801,0.244107,0
0.043082,0.067937,0.023198,0,0.005804,0,0.284160,0.301248,0.335984,0
0.046034,0.024404,0.017748,0,0.004994,0,0.623015,0.662952,0.762975,1
0,0.116541,0.030075,0,0.007547,0,0.531519,0.555387,0.638337,0
0.017503,0.063011,0.121354,0,0.068925,0,0.177757,0.183349,0.195282,0
0,0.181373,0.083333,0,0.019704,0,0.453714,0.468849,0.537439,0
