@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.007042,0,0,0.002643,0,0.645177,0.692343,0.801737,1
9,0.027933,0,0,0.033708,0,0.417012,0.436181,0.501872,0
9,0.023256,0,0,0.004237,0,0.151978,0.162059,0.169146,0
9,0.04918,0,0,0.016529,0,0.239342,0.250734,0.282750,0
9,0.00846,0,0,0.001695,0,0.409999,0.441369,0.505351,0
9,0.002894,0,0,0.001449,0,0.807559,0.867864,1.006107,0
9,0.011494,0,0,0.034682,0,0.406563,0.425604,0.485637,0
9,0,0,0,0.014842,0,0.223496,0.225586,0.245795,0
9,0,0,0,0,0,0.527468,0.561059,0.645264,1
9,0,0,0,0.007133,0,0.598512,0.637667,0.735745,2
9,0,0,0,0,0,0.855293,0.918760,1.066118,1
9,0,0,0,0.025641,0,0.604484,0.640560,0.737745,0
9,0,0,0,0.017685,0,0.297923,0.304659,0.339407,2
9,0,0,0,0.019608,0,0.385258,0.398066,0.453195,0
9,0.005222,0,0,0.005229,0,0.571892,0.609599,0.703240,1
9,0,0,0,0.00417,0,0.819010,0.878330,1.018968,2
9,0,0,0,0.028249,0,0.621727,0.660106,0.761372,1
9,0,0,0,0.012545,0,0.204911,0.207090,0.222837,1
9,0,0,0,0.008547,0,0.376500,0.394313,0.454953,2
9,0,0,0,0.001208,0,0.428821,0.455046,0.523005,1
9,0.020647,0,0,0,0,0.647935,0.696120,0.804365,0
