@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.034483,0.048276,0,0.566646,0.597040,0.685945,0
0,0,0,0.028455,0.069106,0,0.225281,0.226967,0.246165,0
0,0,0,0.028302,0.028302,0,0.225859,0.229374,0.254138,0
0,0,0,0.011309,0.017771,0,0.552559,0.585290,0.670234,0
0,0,0,0.003333,0.001111,0,0.754556,0.807461,0.931125,0
0.016129,0,0,0.043243,0,0,0.450498,0.472720,0.542108,0
0,0,0,0.02649,0.02649,0,0.220788,0.222481,0.242726,0
0,0,0,0,0.181102,0,0.476028,0.506650,0.579573,1
0,0,0,0,0.0375,0,0.642861,0.686314,0.790510,0
0,0,0,0,0.003021,0,0.829353,0.889293,1.027077,0
0,0,0,0.028736,0.045977,0,0.633811,0.671916,0.774997,0
0,0,0,0.021818,0.110909,0,0.287175,0.292251,0.324943,0
0,0,0,0.008065,0.016129,0,0.303190,0.324331,0.362976,1
0,0,0,0.00367,0.088073,0,0.439779,0.464004,0.532072,0
0.012012,0,0.000751,0.001503,0.003005,0,0.646328,0.692496,0.797277,1
0.009569,0,0,0.019231,0.009615,0,0.383640,0.403212,0.459570,0
0,0,0,0.022556,0.135338,0,0.271625,0.280013,0.310999,0
0.007874,0,0,0.007937,0,0,0.045445,0.045354,0.037928,1
0.038321,0,0,0.003656,0.007313,0,0.262762,0.282605,0.313556,0
0.04497,0,0,0.000763,0.002288,0,0.481687,0.517203,0.593374,0
0.006329,0,0,0.012739,0,0,0.393770,0.419039,0.476109,0
0,0,0,0.026168,0.031776,0,0.290416,0.297003,0.329384,0
0,0,0,0.023077,0.007692,0,0.522095,0.550583,0.631890,0
0,0,0,0.009709,0.033287,0,0.587186,0.623684,0.716708,0
0.003182,0,0,0.003185,0.002389,0,0.747345,0.799047,0.922293,0
0,0,0,0.01227,0.006135,0,0.617034,0.651722,0.749625,0
0.00708,0,0,0.019504,0.06383,0,0.234939,0.239521,0.261366,0
0,0,0,0.018182,0.018182,0,0.422759,0.439830,0.502237,1
0,0,0,0.005792,0.013514,0,0.373619,0.393265,0.441647,0
0.002796,0,0.000933,0.003731,0.005597,0,0.777034,0.831737,0.960578,0
0,0,0,0.020134,0,0,0.528282,0.555360,0.636724,0
0.001957,0,0,0.017647,0.023529,0,0.267748,0.273624,0.304295,0
0,0,0,0.02521,0.084034,0,0.401742,0.423217,0.483904,0
0,0,0,0.006515,0.104235,0,0.458652,0.483997,0.557097,0
0.00237,0,0,0.005534,0.002372,0,0.764140,0.818312,0.944713,0
0,0,0,0.030457,0,0,0.637659,0.675444,0.778723,0
0,0,0,0.004839,0.066129,0,0.292994,0.305492,0.335809,0
0,0,0,0.015504,0.062016,0,0.362453,0.381796,0.433093,0
0,0,0,0.010545,0.094903,0,0.471411,0.497164,0.569824,0
0.002913,0,0,0.002915,0.003887,0,0.806070,0.863199,0.996819,0
0,0,0,0.027322,0.021858,0,0.615946,0.651996,0.751017,0
0,0,0,0.013554,0.131024,0,0.286047,0.296670,0.329592,0
0,0,0,0,0,0,0.360943,0.378228,0.423490,0
0,0,0,0.00299,0.077728,0,0.515589,0.548160,0.628217,1
0.012163,0,0,0.004233,0.001587,0,0.718567,0.769878,0.888670,2
0,0,0,0.005291,0.021164,0,0.552784,0.586143,0.671226,0
0,0,0,0.022968,0.125442,0,0.280550,0.288127,0.320972,1
0,0,0,0.012821,0,0,0.489855,0.516770,0.591797,0
0.004167,0,0,0,0.096033,0,0.421635,0.444494,0.507965,0
0.014039,0,0,0.001081,0.002162,0,0.620454,0.663681,0.763925,0
0,0,0,0.019481,0.038961,0,0.566770,0.599250,0.689738,0
0.007547,0,0,0.015123,0.058601,0,0.176800,0.183024,0.193552,0
0,0,0,0.03125,0,0,0.547311,0.576796,0.661247,1
0,0,0,0.003552,0.094139,0,0.432360,0.454601,0.521782,0
0.000997,0,0,0.003992,0.007984,0,0.774998,0.829998,0.956928,0
0,0,0,0.02551,0.015306,0,0.622683,0.657756,0.757328,0
0,0,0,0.014469,0.136656,0,0.268997,0.278349,0.309748,0
0,0,0,0.017241,0,0,0.245706,0.253725,0.281931,0
0.004794,0,0,0.004798,0.064299,0,0.400731,0.424367,0.483938,0
0.017062,0,0,0.001898,0.00759,0,0.632372,0.677290,0.780020,0
0,0,0,0.046512,0,0,0.569842,0.600049,0.690557,0
0.010033,0,0,0.01005,0.097152,0,0.235982,0.247279,0.270087,0
0,0,0,0.02521,0.008403,0,0.376747,0.393574,0.446296,0
0.017493,0,0,0.00292,0.035036,0,0.453611,0.482723,0.551424,0
0.01056,0,0,0.003171,0,0,0.756190,0.809792,0.935545,0
0,0,0,0.033333,0,0,0.601220,0.634976,0.731438,0
0,0,0,0.015306,0.078231,0,0.320576,0.333306,0.372716,0
0,0,0,0.017391,0.026087,0,0.341128,0.354947,0.400672,0
0.007491,0,0,0.005629,0.106942,0,0.448516,0.473500,0.542838,0
0,0,0,0.006897,0.001533,0,0.777330,0.831160,0.959575,1
0,0,0,0.016667,0.016667,0,0.613937,0.650336,0.749818,0
0,0,0,0.004926,0.123153,0,0.328597,0.342731,0.383764,0
0,0,0,0.024194,0,0,0.455242,0.471216,0.535538,0
0,0,0,0.004983,0.0299,0,0.540898,0.572900,0.657264,0
0.001167,0,0,0.007009,0.001168,0,0.754480,0.806834,0.931108,0
0,0,0,0.02809,0,0,0.577471,0.607377,0.699149,0
0,0,0,0.024074,0.033333,0,0.218284,0.221195,0.238660,0
0,0,0,0.020202,0.030303,0,0.328084,0.339600,0.383080,0
0,0,0,0.006065,0.039757,0,0.671616,0.716029,0.825421,2
0,0,0,0.003226,0.001613,0,0.798808,0.854955,0.987194,1
0,0,0,0.029557,0,0,0.628115,0.663808,0.764608,0
0,0,0,0.023438,0.095313,0,0.291127,0.304443,0.336572,0
0.017391,0,0,0.026316,0.008772,0,0.149039,0.147490,0.158576,0
0.003883,0,0,0.007782,0.128405,0,0.389688,0.409072,0.468338,0
0.016018,0,0,0.003817,0.008397,0,0.768380,0.822943,0.949986,0
0,0,0,0.021978,0,0,0.611316,0.645658,0.743174,0
0,0,0,0.029795,0.07635,0,0.223979,0.227863,0.246829,0
0,0,0,0.02381,0.083333,0,0.236018,0.236499,0.264395,1
0.007987,0,0,0.0064,0.096,0,0.384874,0.406566,0.463840,0
0,0,0,0.01218,0.001218,0,0.741933,0.791695,0.913400,0
0,0,0,0,0.005682,0,0.602972,0.638715,0.734674,0
0,0,0,0.013937,0.083624,0,0.314891,0.328395,0.365723,1
0.057143,0,0,0.009615,0,0,0.218621,0.230179,0.252105,0
0.01721,0,0,0.00816,0.030825,0,0.598395,0.637855,0.732177,0
0.013158,0,0.001317,0.003292,0.001317,0,0.641644,0.687434,0.792148,1
0,0,0,0.025157,0,0,0.589607,0.623228,0.716873,0
0.003866,0,0,0.009032,0.037419,0,0.254103,0.266032,0.293437,1
0.028037,0,0,0.037736,0,0,0.311134,0.317011,0.358599,0
0.013769,0,0,0.008621,0.001724,0,0.446191,0.471547,0.537437,0
0.001431,0,0,0.001433,0,0,0.816086,0.874719,1.010765,0
0,0,0,0.035088,0,0,0.617101,0.650994,0.749995,0
0,0,0,0.014184,0.014184,0,0.300561,0.311188,0.344959,0
0.078261,0,0,0.008772,0,0,0.185911,0.194467,0.209886,0
0.024862,0,0,0.002766,0.004149,0,0.255523,0.273446,0.306042,0
0.037893,0,0,0.0037,0.009251,0,0.594212,0.635866,0.732049,1
0,0,0,0.037975,0.006329,0,0.502375,0.526839,0.604222,0
0.009728,0,0,0.017544,0.050682,0,0.159695,0.165995,0.173843,0
0,0,0,0.041322,0.041322,0,0.430401,0.446524,0.510052,0
0,0,0,0.007018,0.079532,0,0.608446,0.647889,0.746075,0
0.021292,0,0,0.004261,0.002131,0,0.664989,0.712938,0.821826,0
0.005291,0,0,0.037234,0,0,0.498365,0.523405,0.600411,0
0,0,0,0.014151,0.083333,0,0.259456,0.267896,0.290555,0
0,0,0,0.019417,0.029126,0,0.314863,0.322198,0.362038,0
0,0,0,0.005593,0.061521,0,0.581287,0.620711,0.713382,0
0,0,0,0.002183,0.003275,0,0.788275,0.844272,0.974498,0
0,0,0,0.012346,0,0,0.532829,0.563497,0.646377,0
0.028571,0,0,0.019678,0.051878,0,0.193075,0.199096,0.211528,0
0,0,0,0.021127,0.021127,0,0.446540,0.467273,0.532328,0
0.005882,0,0,0.002946,0.072165,0,0.460451,0.487709,0.558170,0
0,0,0,0.005034,0.004195,0,0.798945,0.854332,0.986782,0
0,0,0,0.02439,0,0,0.568596,0.599457,0.690945,0
0,0,0,0.007949,0.052464,0,0.300305,0.312116,0.343778,0
0.009804,0,0,0,0.009901,0,0.103184,0.107347,0.109156,0
0.003704,0,0,0.009276,0.068646,0,0.361422,0.380224,0.430834,0
0,0,0,0.007823,0.003911,0,0.768340,0.820373,0.946670,0
0,0,0,0.038217,0.038217,0,0.548109,0.574704,0.661882,0
0.0217,0,0,0.012681,0.067029,0,0.138652,0.141222,0.146322,1
0,0,0,0.018519,0.037037,0,0.375774,0.389202,0.440692,0
0,0,0,0.005455,0.101818,0,0.491599,0.520684,0.597356,0
0,0,0,0.004608,0.00576,0,0.807290,0.863818,0.998044,1
0,0,0,0.006061,0.006061,0,0.618902,0.655457,0.752841,0
0,0,0,0.011628,0.079457,0,0.246859,0.253182,0.277930,0
0,0,0,0.032967,0,0,0.304384,0.301844,0.340117,0
0.016447,0,0,0.004942,0.07743,0,0.468653,0.495758,0.568353,0
0.007067,0,0,0.004717,0.004717,0,0.749492,0.803101,0.927744,0
0,0,0,0.017544,0,0,0.439752,0.466374,0.532634,0
0.012968,0,0,0.012987,0.080808,0,0.223367,0.233424,0.255529,0
0,0,0,0.020619,0,0,0.143034,0.141226,0.149633,0
0.00235,0,0,0.005882,0.041176,0,0.587442,0.624798,0.718254,0
0,0,0,0.002584,0,0,0.767861,0.822335,0.949390,0
0.039773,0,0,0.022857,0,0,0.370394,0.389417,0.445489,0
0.010081,0,0,0.022222,0.016162,0,0.235102,0.243003,0.266515,0
0,0,0,0.014706,0.014706,0,0.471248,0.496757,0.565571,1
0,0,0,0.005382,0.024951,0,0.744989,0.795823,0.918823,2
0,0,0,0.002326,0.005426,0,0.814014,0.871293,1.006506,2
0,0,0,0.04908,0,0,0.522259,0.546608,0.626154,0
0,0,0,0.020183,0.108257,0,0.284838,0.294398,0.327561,2
0,0,0,0.056075,0,0,0.372887,0.378205,0.431213,0
0,0,0,0.00597,0.039801,0,0.607497,0.647542,0.745238,0
0.004651,0,0,0.006206,0.001552,0,0.750588,0.803001,0.927144,0
0,0,0,0.018868,0,0,0.595039,0.627321,0.720137,0
0,0,0,0.015101,0.124161,0,0.250771,0.258613,0.283620,0
0,0,0,0.048544,0,0,0.436491,0.450226,0.516443,0
0,0,0,0.005935,0.045994,0,0.527412,0.559767,0.640053,0
0,0,0,0.002622,0.006119,0,0.743459,0.796009,0.917777,0
0,0,0,0.02454,0.006135,0,0.620132,0.654194,0.751429,0
0,0,0,0.020408,0.106576,0,0.224144,0.227655,0.247764,0
0,0,0,0.008547,0,0,0.383369,0.399817,0.451978,0
0.005731,0,0,0.007174,0.058824,0,0.433135,0.458374,0.523289,0
0.02607,0,0,0.002676,0.002007,0,0.762536,0.817260,0.944003,1
0.040541,0,0,0.020408,0,0,0.240894,0.253161,0.284537,0
0,0,0,0.017606,0.086268,0,0.264250,0.272862,0.300787,0
0.009174,0,0,0,0,0,0.039145,0.052629,0.040574,0
0.015203,0,0,0,0,0,0.034869,0.047475,0.035687,0
0.056202,0,0,0,0,0,0.019236,0.025254,0.017526,0
0.024845,0,0,0,0,0,0.029707,0.039168,0.030062,0
0,0,0,0.021382,0.0625,0,0.259655,0.264573,0.291226,0
0.06,0,0,0.030303,0,0,0.079588,0.073382,0.071164,0
0,0,0,0.020755,0.043396,0,0.428365,0.448829,0.510856,0
0,0,0,0,0,0,0.797412,0.854458,0.987676,0
0.028736,0,0,0.028902,0,0,0.447387,0.469499,0.536428,0
0.004702,0,0,0.012559,0.012559,0.00157,0.254851,0.269101,0.292516,1
0.016529,0,0,0,0,0,0.164812,0.172605,0.187998,0
0.040706,0.001359,0,0.006793,0.013587,0,0.268189,0.284733,0.319124,1
0.015512,0,0,0,0.001035,0,0.705224,0.756686,0.871927,0
0,0,0,0.026316,0,0,0.584290,0.615192,0.707566,0
0.026534,0,0,0.009129,0.007469,0,0.556253,0.592365,0.677888,0
0,0,0,0.025974,0,0,0.179745,0.176071,0.189368,0
0,0,0,0.008991,0.02997,0,0.550272,0.584799,0.669310,0
0.035813,0,0,0.001838,0.000919,0.000919,0.648929,0.695685,0.801527,1
0,0,0,0.041958,0,0,0.475075,0.494415,0.566552,0
0,0,0,0.01848,0.045175,0,0.229527,0.230698,0.251042,0
0,0,0,0.020202,0.030303,0,0.361455,0.375170,0.427161,0
0,0,0,0.01487,0.039033,0,0.391343,0.409994,0.467442,0
0.008043,0,0,0.006711,0.001342,0,0.754394,0.807392,0.931638,0
0,0,0,0.031056,0,0,0.565305,0.594503,0.683830,0
0,0,0,0.023033,0.028791,0,0.269483,0.275641,0.301246,0
0,0,0,0.007143,0.042857,0,0.424646,0.450222,0.509489,1
0.003831,0,0,0.002558,0.05243,0,0.540028,0.572674,0.658569,2
0.00252,0,0,0.001261,0.001892,0,0.798885,0.855623,0.988380,2
0,0,0,0.010582,0.015873,0,0.314436,0.338353,0.381796,0
0,0,0,0.013769,0.022375,0,0.277869,0.292970,0.325884,2
0,0,0,0.023622,0,0,0.421602,0.439301,0.500054,0
0,0,0,0.01676,0.043296,0,0.457757,0.484054,0.552169,0
0.013356,0,0,0.004177,0.003342,0,0.707189,0.756745,0.872532,1
0,0,0,0.03012,0,0,0.615580,0.650653,0.749935,0
0,0,0,0.011928,0.001988,0,0.206759,0.210927,0.226886,1
