@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.023474,0.061033,0,0,0.014151,0.057455,0.058287,0.051271,1
0.045952,0.06674,0,0,0.004381,0.297810,0.317694,0.351947,0
0.05807,0.005944,0,0,0.002745,0.510561,0.547027,0.624956,0
0.030418,0.060837,0,0,0.007634,0.410433,0.435549,0.493702,0
0,0.10962,0,0,0.029115,0.310309,0.317520,0.352710,0
0,0.105023,0,0,0.027523,0.553278,0.581369,0.666329,0
0,0.085619,0,0,0.009983,0.623195,0.658877,0.754657,0
0.004773,0.025776,0,0,0.004776,0.775369,0.826638,0.952194,0
0,0.076642,0,0,0.014652,0.645045,0.680947,0.782985,0
0.011677,0.117834,0,0,0.022317,0.260791,0.265119,0.289464,0
0,0.102151,0,0,0.021622,0.455508,0.473176,0.539841,1
0,0.030023,0,0,0.006936,0.406822,0.426702,0.479054,0
0.005031,0.022918,0,0,0.003915,0.801193,0.854746,0.984952,0
0,0.119522,0,0,0.02,0.555789,0.582785,0.667068,0
0.002347,0.156103,0,0,0.019976,0.295160,0.300939,0.335721,0
0,0.085,0,0,0.015075,0.432907,0.454657,0.518865,0
0,0.113171,0,0,0.003906,0.500752,0.524961,0.600702,0
0.005213,0.017062,0,0,0.00569,0.790997,0.844642,0.972999,0
0,0.138973,0,0,0.018182,0.669318,0.706104,0.812025,0
0,0.028019,0,0,0.010638,0.315297,0.328052,0.362386,0
0,0.078704,0,0,0.009302,0.390676,0.409574,0.464118,0
0,0.098843,0,0,0.009474,0.504092,0.528577,0.603386,0
0.002912,0.012231,0,0,0.003497,0.829409,0.885623,1.020921,0
0,0.13355,0,0,0.019608,0.640535,0.675558,0.776834,0
0,0.07394,0,0,0.01444,0.309620,0.320030,0.356257,0
0,0.049383,0,0,0.006211,0.393146,0.411245,0.462497,0
0,0.06619,0,0,0.004476,0.553917,0.586073,0.669353,1
0.017449,0.011421,0,0,0.002856,0.746765,0.797922,0.918768,2
0,0.069401,0,0,0.018987,0.574396,0.608188,0.696791,0
0,0.096296,0,0,0.026483,0.304833,0.313127,0.350221,1
0.003802,0.087452,0,0,0.015267,0.521210,0.548740,0.626383,0
0.00625,0.11875,0,0,0.002503,0.459142,0.480541,0.546434,0
0.016839,0.016192,0,0,0.005185,0.652974,0.696778,0.799919,0
0,0.127413,0,0,0.01938,0.602689,0.634968,0.729272,0
0.007928,0.075878,0,0,0.017007,0.200671,0.206984,0.221784,0
0,0.096273,0,0,0.021807,0.577352,0.607443,0.696167,1
0,0.1339,0,0,0.008511,0.471039,0.492111,0.561450,0
0.001793,0.016139,0,0,0.005981,0.799303,0.853477,0.981758,0
0,0.145897,0,0,0.018293,0.650635,0.685272,0.788039,0
0,0.091434,0,0,0.012524,0.293636,0.302536,0.337073,0
0.010204,0.081633,0,0,0.020513,0.276024,0.285742,0.319373,0
0.007476,0.086256,0,0,0.004603,0.435138,0.458996,0.521059,0
0.019898,0.014213,0,0,0.002844,0.659959,0.704823,0.809281,0
0,0.183333,0,0,0.027855,0.595613,0.625333,0.718011,0
0.012036,0.051153,0,0,0.014056,0.260188,0.271482,0.297799,0
0.039427,0.043011,0,0,0.014388,0.358328,0.379658,0.428621,1
0.061493,0.032211,0,0,0.003663,0.222725,0.240351,0.263286,0
0.048689,0.01573,0,0,0.005997,0.479757,0.513012,0.584608,0
0.097403,0.090909,0,0,0.016287,0.387824,0.408795,0.463266,0
0,0.060706,0,0,0.01768,0.240039,0.244018,0.265595,0
0,0.085,0,0,0.040201,0.411517,0.429759,0.487610,0
0.020979,0.035839,0,0,0.004374,0.489407,0.518712,0.590648,0
0.015199,0.017733,0,0,0.002535,0.784411,0.837416,0.965178,0
0,0.169435,0,0,0.02,0.625376,0.657709,0.756265,0
0,0.087666,0,0,0.017347,0.339561,0.351772,0.394873,0
0,0.11399,0,0,0.036458,0.371053,0.386056,0.437236,0
0.008989,0.122472,0,0,0.004499,0.480104,0.503253,0.573871,0
0,0.022059,0,0,0.005977,0.803909,0.856945,0.987531,1
0,0.145695,0,0,0.013289,0.641853,0.676632,0.777705,0
0,0.04626,0,0,0.013793,0.349917,0.364354,0.408874,0
0,0.148325,0,0,0.028846,0.475193,0.493084,0.560674,0
0,0.105473,0,0,0.00498,0.577626,0.608386,0.695526,0
0.002101,0.02381,0,0,0.005606,0.783573,0.835068,0.961392,0
0,0.153846,0,0,0.026846,0.612004,0.642176,0.738115,0
0,0.131929,0,0,0.024417,0.245566,0.247916,0.267833,0
0,0.166667,0,0,0.017964,0.361830,0.373136,0.421965,0
0,0.059774,0,0,0.003636,0.700269,0.743184,0.854281,2
0,0.012573,0,0,0.00387,0.823907,0.879034,1.013110,1
0,0.141176,0,0,0.023599,0.657880,0.692939,0.796359,0
0,0.070159,0,0,0.018727,0.313570,0.326248,0.360942,0
0.020833,0.182292,0,0,0.020942,0.168539,0.167768,0.180954,0
0.004662,0.125874,0,0,0.007001,0.427127,0.446045,0.507826,0
0.017849,0.010984,0,0,0.002747,0.793996,0.847746,0.976547,0
0,0.140523,0,0,0.022951,0.637005,0.670701,0.771359,0
0,0.103563,0,0,0.023411,0.251476,0.255993,0.279417,0
0,0.253521,0,0,0.021277,0.276750,0.276726,0.307433,1
0.010536,0.10728,0,0,0.005753,0.416428,0.437060,0.496225,0
0,0.042305,0,0,0.009489,0.768767,0.817727,0.941710,0
0,0.047297,0,0,0.00678,0.626675,0.662202,0.760363,0
0,0.076121,0,0,0.016701,0.334107,0.347004,0.387577,1
0.062857,0.051429,0,0,0.011494,0.234122,0.245902,0.269738,0
0.019555,0.065725,0,0,0.008152,0.627796,0.666414,0.762974,0
0.020916,0.011839,0.000395,0,0.003158,0.677774,0.723925,0.831629,1
0,0.070896,0,0,0.022472,0.614391,0.647959,0.744738,0
0.005414,0.071926,0,0,0.01548,0.272710,0.284545,0.314740,1
0.02809,0.106742,0,0,0.039548,0.321485,0.327942,0.371246,0
0.016512,0.112487,0,0,0.005165,0.479055,0.503464,0.571318,0
0.003431,0.011149,0,0,0.002575,0.840185,0.897865,1.035307,0
0,0.184669,0,0,0.020979,0.639998,0.672291,0.772754,0
0,0.099788,0,0,0.018066,0.326695,0.336728,0.372265,0
0.088542,0.036458,0,0,0.010471,0.216620,0.225664,0.244107,0
0.043082,0.067937,0,0,0.004146,0.284004,0.301940,0.335984,0
0.046034,0.024404,0,0,0.003885,0.623215,0.664882,0.762975,1
0,0.116541,0,0,0.022642,0.531579,0.556775,0.638337,0
0.017503,0.063011,0,0,0.021028,0.177682,0.183448,0.195282,0
0,0.181373,0,0,0.019704,0.453796,0.470160,0.537439,0
0,0.058164,0,0,0.004909,0.639762,0.677837,0.777804,0
0.027246,0.015751,0,0,0.002981,0.695777,0.744121,0.855149,0
0.019048,0.190476,0,0,0.025478,0.521996,0.546375,0.626284,0
0,0.072437,0,0,0.018832,0.280933,0.289286,0.314938,0
0,0.137931,0,0,0.028902,0.343420,0.352487,0.397434,0
