@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.343,0.466,0.191,0.926,0.067,0
0.144,0.504,0.351,0.139,0.381,0
0.377,0.515,0.108,0.14,0.438,0
0.952,0.017,0.031,0.363,0.421,0
0.056,0.819,0.125,0.297,0.261,0
0.68,0.243,0.076,0.865,0.117,0
0.278,0.554,0.169,0.163,0.377,0
0.38,0.527,0.093,0.105,0.434,0
0.898,0.049,0.053,0.413,0.379,0
0.557,0.266,0.178,0.434,0.259,0
0.093,0.76,0.147,0.365,0.457,0
0.189,0.454,0.357,0.233,0.369,0
0.025,0.715,0.26,0.138,0.37,1
0.958,0.01,0.032,0.773,0.172,0
0.587,0.36,0.053,0.426,0.303,0
0.439,0.428,0.133,0.523,0.413,0
0.96,0.038,0.002,0.551,0.385,0
0.665,0.322,0.013,0.716,0.227,0
0.947,0.042,0.01,0.594,0.343,0
0.304,0.326,0.37,0.549,0.292,0
0.457,0.506,0.037,0.937,0.054,0
0.661,0.27,0.069,0.432,0.343,0
0.752,0.212,0.036,0.081,0.432,0
0.973,0.003,0.024,0.734,0.198,0
0.335,0.639,0.025,0.286,0.673,1
0.764,0.221,0.015,0.478,0.424,0
0.378,0.515,0.107,0.464,0.392,1
0.446,0.493,0.061,0.13,0.422,0
0.902,0.019,0.078,0.494,0.361,0
0.002,0.186,0.812,0.328,0.377,0
0.53,0.462,0.008,0.756,0.212,0
0.112,0.669,0.22,0.207,0.409,0
0.402,0.534,0.064,0.14,0.627,1
0.62,0.017,0.363,0.789,0.175,0
0.197,0.402,0.401,0.545,0.31,0
0.478,0.5,0.022,0.513,0.34,0
0.698,0.189,0.113,0.364,0.371,0
0.588,0.224,0.188,0.145,0.423,0
0.787,0.09,0.123,0.582,0.309,0
0.238,0.544,0.218,0.62,0.283,0
0.047,0.865,0.089,0.225,0.387,1
0.023,0.084,0.893,0.131,0.353,2
0.01,0.72,0.27,0.084,0.407,2
0.764,0.105,0.13,0.415,0.418,0
0.507,0.399,0.094,0.478,0.376,2
0.122,0.748,0.13,0.572,0.33,0
0.446,0.308,0.246,0.341,0.366,0
0.102,0.697,0.201,0.156,0.423,1
0.943,0.011,0.045,0.525,0.336,0
0.776,0.201,0.023,0.548,0.373,1
