@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
2,0.33253,0.32809,0.433875,2.916137,0.126942,0.522416,0.644462,3.909234,0.735099,0.837048,0.645933,2.489755,1.066974,0.222754,0.205188,1.85178,0.044639,0.944564,1,0
7,0.742157,-0.009528,1.325683,4.917948,-0.24042,0.125714,0.705828,4.295063,0.239232,-0.138787,0.678421,3.584057,-0.104891,-0.095539,0.396568,4.082136,-0.104707,1.162778,5,0
2,0.398325,-0.277818,0.490901,3.406422,-0.305376,-0.121526,1.259142,9.366807,-0.052874,-0.504803,0.135431,1.634905,-0.566699,-0.145071,0.145454,1.810982,-0.244028,1.366564,0,1
8,0.407014,-0.36116,0.699966,3.649491,-0.495091,0.071699,1.072731,5.124499,0.064654,0.178731,1.142431,5.031038,0.012364,0.132651,0.614345,6.101903,0.053961,0.789063,9,0
7,0.110236,-0.361721,1.014286,4.131687,-0.509953,-0.267007,0.851,5.803469,-0.381573,0.006047,1.244293,4.795398,-0.042784,0.471136,1.343532,6.895689,0.21944,1.309457,1,1
2,0.330377,0.665858,0.773137,4.009388,0.659977,0.030839,0.648706,3.580838,0.014551,-0.596607,0.148507,1.646242,-0.585324,-0.967525,1.08131,3.286847,-0.375739,1.026502,1,0
7,0.742786,0.004748,0.923572,3.817433,-0.009045,0.039374,0.95153,5.463572,-0.083995,0.060157,0.725831,5.19299,-0.045615,0.121932,0.432173,3.917074,0.02116,0.842814,5,1
2,0.519868,0.042799,1.046303,3.68073,0.303112,-0.120951,1.928776,10.983944,-0.003325,0.376003,1.840154,4.853417,-0.132385,-0.532211,0.0719,1.734998,-0.522259,0.987326,0,0
10,0.230067,0.057469,1.090448,3.258206,0.083995,0.075943,0.966031,6.140454,0.042452,-0.203688,1.081014,5.697518,-0.479339,-0.071392,0.962086,6.169863,0.089205,2.002869,2,0
5,0.108406,-0.403206,0.567427,2.917086,-0.308988,-0.341224,0.694367,3.946003,-0.299915,0.644813,1.121665,3.802062,0.1985,0.500736,1.813507,5.336784,0.144057,0.712583,0,0
2,0.331933,0.62472,0.689885,3.016237,0.912988,0.345624,1.234722,4.868233,0.328375,-0.66858,0.078931,1.241557,-0.659375,-0.939368,0.766281,3.452325,-1.213424,1.083403,0,0
7,0.702497,-0.019634,0.999692,4.000689,0.061441,-0.007425,0.886901,5.983604,-0.083281,0.041721,0.759426,5.535519,-0.150094,0.080398,0.67098,5.930946,0.042395,1.140891,3,0
2,0.571171,0.071029,0.893053,3.670158,0.03558,-0.181256,1.588987,10.721063,-0.104216,-0.349621,0.296679,2.363987,-0.277652,0.425106,0.074626,1.220732,0.489726,0.907228,1,0
8,0.327018,-0.091109,0.906506,3.442497,-0.293435,0.118796,0.845193,5.370001,0.072124,0.10745,1.804215,5.90939,-0.086719,-0.014637,0.78284,4.758579,-0.214415,0.871067,0,0
