@RELATION rabc_features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE psy_feature1 NUMERIC
@ATTRIBUTE psy_feature2 NUMERIC
@ATTRIBUTE psy_feature3 NUMERIC
@ATTRIBUTE psy_feature4 NUMERIC
@ATTRIBUTE psy_feature5 NUMERIC
@ATTRIBUTE psy_feature6 NUMERIC
@ATTRIBUTE psy_feature7 NUMERIC
@ATTRIBUTE psy_feature8 NUMERIC
@ATTRIBUTE psy_feature9 NUMERIC
@ATTRIBUTE psy_feature10 NUMERIC
@ATTRIBUTE psy_feature11 NUMERIC
@ATTRIBUTE psy_feature12 NUMERIC
@ATTRIBUTE psy_feature13 NUMERIC
@ATTRIBUTE psy_feature14 NUMERIC
@ATTRIBUTE psy_feature15 NUMERIC
@ATTRIBUTE psy_feature16 NUMERIC
@ATTRIBUTE psy_feature17 NUMERIC
@ATTRIBUTE psy_feature18 NUMERIC
@ATTRIBUTE joint_feature1 NUMERIC
@ATTRIBUTE joint_feature2 NUMERIC
@ATTRIBUTE class {0,1,2}

@DATA
3.000000000000000000e+00,5.000000000000000000e+00,9.218859957776213976e-02,5.189828847444276638e-01,1.050772274465290979e+00,4.459864967999999763e+00,6.030435049500000311e-01,-2.200970021181279379e-01,8.020885089586184957e-01,4.348563007000000091e+00,-3.112323050499999910e-01,3.570095530490019486e-01,2.569459174490210107e-01,2.943389819800000140e+00,4.627016427000000265e-01,6.186385812530671435e-01,1.120971065585873561e+00,5.302505411000000279e+00,3.948029337999999777e-01,9.329996469760235556e-01,0.000000000000000000e+00,1
1.000000000000000000e+00,2.000000000000000000e+00,4.234482758620689569e-01,-2.651386978039045952e-02,7.388164143653621618e-01,3.659692200999999923e+00,1.280768051000000067e-02,-2.302682079654753688e-01,2.288766951534691341e+00,1.198575647800000077e+01,-1.163763389000000009e-01,-1.458255867026556629e-01,3.555897242844888728e-01,2.856166191999999882e+00,-9.915902673000000223e-02,-3.538687869065448854e-01,1.664170520612238968e-01,1.559869099000000148e+00,-4.296611764000000111e-01,1.188738151924890962e+00,0.000000000000000000e+00,1
2.000000000000000000e+00,8.000000000000000000e+00,3.496583143507972502e-01,-1.878578060422967932e-01,6.733849966361377115e-01,3.389888566999999853e+00,-1.361501504000000029e-01,1.941152021315400988e-01,1.210060366811824606e+00,6.237251892999999825e+00,2.172473731999999824e-01,-9.809437803340272100e-02,1.607154351637680278e+00,6.500491689000000406e+00,-3.105768871999999847e-01,-4.652542716627404706e-01,1.035403167677328762e+00,5.455660029999999772e+00,-4.017120983999999950e-01,8.920994484750421893e-01,0.000000000000000000e+00,2
3.000000000000000000e+00,2.000000000000000000e+00,6.705539358600583200e-02,-5.371949524606277337e-02,1.130687840738463956e+00,3.511417428999999757e+00,-2.894027883999999995e-01,-1.184493501853043224e-01,6.376439224226767566e-01,4.129717323999999579e+00,-1.705152372000000027e-01,1.063155927270192036e+00,8.727181986018598403e-01,3.359194894999999903e+00,9.214789206000000288e-01,1.127593040954249171e+00,2.871947418597005086e-01,2.143073193769999829e+00,8.665549531999999777e-01,5.067153255128403755e-01,0.000000000000000000e+00,1
5.000000000000000000e+00,7.000000000000000000e+00,7.183188963747192401e-01,1.157455611873160761e-02,1.067099037393820282e+00,3.691580753000000215e+00,1.370922463000000084e-02,-3.944777706079147239e-02,7.231661114940599600e-01,4.788516987999999586e+00,-5.840429501999999662e-02,-7.200149178645187664e-02,5.143120509580367816e-01,3.649995706999999978e+00,-5.055721971999999759e-02,2.701555260166434991e-01,8.717174713973588895e-01,6.884168461999999877e+00,2.998097598999999724e-01,1.085767320236487699e+00,0.000000000000000000e+00,2
2.000000000000000000e+00,8.000000000000000000e+00,3.289851291416645007e-01,5.392605895451917097e-02,9.526355938928521283e-01,4.360455091000000394e+00,3.849009794000000234e-02,1.572165072164869726e-01,9.931036017757750578e-01,5.199778411000000489e+00,3.296181048999999863e-01,-3.819391426635384001e-01,3.265915396140827154e-01,2.834753383999999876e+00,-3.712776629999999800e-01,-3.080358434661749634e-01,1.601012374152868567e+00,5.697896499000000503e+00,-2.177431412999999982e-01,9.736381509125389133e-01,2.000000000000000000e+00,1
3.000000000000000000e+00,6.000000000000000000e+00,1.060782681099084052e-01,1.958898562894491324e-01,1.047656006467488465e+00,5.654631036999999694e+00,3.019779476000000185e-01,-4.487769312200460409e-02,9.837966980568461084e-01,5.119022408999999385e+00,-1.706054258999999962e-01,1.354593560082655301e-01,4.589268775260177402e-01,2.882989595199999755e+00,-4.366520900000000344e-02,6.032842993905666029e-01,2.992159934924019105e-01,2.843941310299999969e+00,5.422756572000000386e-01,9.856901618738602711e-01,1.000000000000000000e+00,2
4.000000000000000000e+00,2.000000000000000000e+00,3.258678611422172189e-01,5.646677050861170777e-01,9.171471858579769432e-01,4.000085200000000007e+00,9.745597543999999779e-01,3.136747435309630849e-01,8.631889824113606613e-01,4.146554855999999845e+00,3.089121792000000255e-01,-1.123809233625084752e-01,4.449248307478898545e-01,2.368170025199999973e+00,-9.216887103000000192e-02,-9.542834959676961271e-01,3.530282080104839015e-01,1.993797611599999797e+00,-6.894313187999999704e-01,1.018339451691010034e+00,0.000000000000000000e+00,1
5.000000000000000000e+00,7.000000000000000000e+00,8.181493390496605844e-01,-2.363518237653426945e-01,9.948236564819954442e-01,4.207340083000000064e+00,-3.019538177499999643e-01,-8.216072058653131616e-02,8.340577487779763377e-01,6.393281822999999697e+00,-1.149633793500000056e-01,1.845683956106136392e-01,1.574019597439136442e+00,4.636779901000000592e+00,-3.942530819000000242e-01,1.258905340321405664e-01,6.663996592747639669e-01,4.096711960000000374e+00,1.082258482000000022e-01,9.749960633114946873e-01,0.000000000000000000e+00,1
1.000000000000000000e+00,2.000000000000000000e+00,5.959595959595959114e-01,2.426242797862700473e-01,8.119450328567501263e-01,5.033199482999999752e+00,7.416316761499999743e-02,4.342548142661016297e-01,1.300809997725513645e+00,7.578277285999999613e+00,7.400356927000000251e-01,-4.648475546293983629e-01,1.164211616923227499e-01,1.209498984709999947e+00,-3.742038801500000011e-01,-6.869675582621012078e-01,2.110635647722687025e-01,1.893757135500000022e+00,-6.929079579999999350e-01,9.739454651632900584e-01,0.000000000000000000e+00,2
