@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.00708,0.086726,0.00177,0,0,0.019504,0.06383,0,0.235000,0.243048,0.261366,0
9,0,0.027027,0,0,0,0.018182,0.018182,0,0.423060,0.446234,0.502237,1
9,0,0.032755,0,0,0,0.005792,0.013514,0,0.373867,0.398966,0.441647,0
9,0.002796,0.00932,0.001864,0,0.000933,0.003731,0.005597,0,0.777747,0.843621,0.960578,0
9,0,0,0.013333,0,0,0.020134,0,0,0.528664,0.563306,0.636724,0
9,0.001957,0.048924,0.007828,0,0,0.017647,0.023529,0,0.267847,0.277386,0.304295,0
9,0,0.108333,0,0,0,0.02521,0.084034,0,0.401950,0.429151,0.483904,0
9,0,0.118699,0.001626,0,0,0.006515,0.104235,0,0.458960,0.491081,0.557097,0
9,0.00237,0.004739,0,0,0,0.005534,0.002372,0,0.764839,0.830022,0.944713,0
9,0,0.005051,0,0,0,0.030457,0,0,0.638164,0.685088,0.778723,0
9,0,0.099839,0.003221,0,0,0.004839,0.066129,0,0.293125,0.310020,0.335809,0
9,0,0.076923,0,0,0,0.015504,0.062016,0,0.362668,0.387202,0.433093,0
9,0,0.108772,0.008772,0,0,0.010545,0.094903,0,0.471744,0.504457,0.569824,0
9,0.002913,0.009709,0,0,0,0.002915,0.003887,0,0.806802,0.875626,0.996819,0
9,0,0.038043,0,0,0,0.027322,0.021858,0,0.616404,0.661312,0.751017,0
9,0,0.171429,0.004511,0,0,0.013554,0.131024,0,0.286112,0.301089,0.329592,0
9,0,0,0,0,0,0,0,0,0.361160,0.383621,0.423490,0
