@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature788 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.327372,0.336024,0.399647,0
0,0,0,0,0,0,0.453233,0.461997,0.559503,0
0,0,0,0,0,0,0.539034,0.560020,0.685925,0
0.001167,0,0,0,0,0,0.752034,0.788302,0.973334,0
0,0,0,0,0,0,0.575290,0.594232,0.730069,0
0,0,0,0,0,0,0.217266,0.217350,0.248359,0
0,0,0,0,0,0,0.326758,0.333000,0.399106,0
0,0,0,0,0,0,0.669420,0.699645,0.862000,2
0,0,0,0,0,0,0.796246,0.835281,1.031900,1
0,0,0,0,0,0,0.625849,0.649086,0.798570,0
0,0,0,0,0,0,0.290191,0.298581,0.348657,0
0.017391,0,0,0,0,0,0.148449,0.146166,0.162513,0
0.003883,0,0,0,0,0,0.388362,0.400309,0.486747,0
0.016018,0,0,0,0,0,0.765968,0.803989,0.992781,0
0,0,0,0,0,0,0.609090,0.631574,0.776297,0
0,0,0,0,0,0,0.223016,0.224053,0.256058,0
0,0,0,0,0,0,0.234822,0.232262,0.274480,1
0.007987,0,0,0,0,0,0.383725,0.398113,0.481165,0
0,0,0,0,0,0,0.739471,0.773702,0.954749,0
0,0,0,0,0,0,0.600811,0.624873,0.768129,0
0,0,0,0,0,0,0.313759,0.322008,0.380304,1
0.057143,0,0,0,0,0,0.218307,0.227227,0.257592,0
0.01721,0,0,0,0,0,0.596512,0.623504,0.763676,0
0.013158,0,0,0.001317,0,0,0.639713,0.671877,0.826958,1
0,0,0,0,0,0,0.587458,0.609849,0.749412,0
0.003866,0,0,0,0,0,0.253494,0.261715,0.301536,1
0.028037,0,0,0,0,0,0.309652,0.312000,0.375056,0
0.013769,0,0,0,0,0,0.444661,0.461163,0.560753,0
0.001431,0,0,0,0,0,0.813521,0.854440,1.056392,0
0,0,0,0,0,0,0.614847,0.636547,0.783093,0
0,0,0,0,0,0,0.299314,0.305083,0.360001,0
0.078261,0,0,0,0,0,0.185579,0.191844,0.215193,0
0.024862,0,0,0,0,0,0.255283,0.268803,0.312447,0
0.037893,0,0,0,0,0,0.592437,0.621582,0.764032,1
0,0,0,0,0,0,0.500441,0.515940,0.631148,0
0.009728,0,0,0,0,0,0.159649,0.164665,0.173092,0
0,0,0,0,0,0,0.428615,0.437577,0.531933,0
0,0,0,0,0,0,0.606455,0.633134,0.778792,0
0.021292,0,0,0,0,0,0.663018,0.696780,0.857903,0
0.005291,0,0,0,0,0,0.496598,0.512387,0.625130,0
0,0,0,0,0,0,0.258410,0.262795,0.302288,0
0,0,0,0,0,0,0.313392,0.316718,0.378196,0
0,0,0,0,0,0,0.579510,0.606749,0.743774,0
0,0,0,0,0,0,0.785790,0.824880,1.018332,0
0,0,0,0,0,0,0.531144,0.551385,0.671570,0
0.028571,0,0,0,0,0,0.192672,0.196719,0.215155,0
0,0,0,0,0,0,0.444811,0.457937,0.555812,0
0.005882,0,0,0,0,0,0.458997,0.477019,0.580520,0
0,0,0,0,0,0,0.796349,0.834761,1.031518,0
0,0,0,0,0,0,0.566515,0.586230,0.721359,0
0,0,0,0,0,0,0.299128,0.306026,0.358352,0
0.009804,0,0,0,0,0,0.103318,0.106914,0.107296,0
0.003704,0,0,0,0,0,0.360197,0.372095,0.448310,0
0,0,0,0,0,0,0.765797,0.801734,0.989622,0
0,0,0,0,0,0,0.546019,0.562122,0.690315,0
0.0217,0,0,0,0,0,0.138524,0.140220,0.145371,1
0,0,0,0,0,0,0.374206,0.381462,0.459443,0
0,0,0,0,0,0,0.489942,0.508941,0.622776,0
0,0,0,0,0,0,0.804687,0.843961,1.043259,1
0,0,0,0,0,0,0.616676,0.641329,0.786927,0
0,0,0,0,0,0,0.245817,0.248779,0.289318,0
0,0,0,0,0,0,0.302631,0.297339,0.354685,0
