@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.064639,0,0,0.034351,0,0.639534,0.672503,0.773197,0
0,0.086705,0,0,0.041466,0,0.315832,0.323293,0.360030,2
0,0.063953,0,0,0.005848,0,0.406684,0.419586,0.477941,0
0.007048,0.068128,0,0,0.012539,0,0.605308,0.638236,0.733283,1
0,0.02049,0,0,0.002,0,0.851304,0.903783,1.045368,2
0,0.084175,0,0,0.013514,0,0.655001,0.689179,0.793944,1
0,0.079399,0,0,0.116004,0,0.224829,0.227047,0.245246,1
0,0.152284,0,0,0.010204,0,0.416997,0.430416,0.493787,2
0.000723,0.095445,0,0,0.019537,0,0.470886,0.493268,0.562633,1
0.02725,0.004955,0,0,0.008261,0,0.687060,0.731049,0.841151,0
0,0.05,0,0,0.007722,0,0.658513,0.694400,0.799011,0
0,0.076426,0,0,0.020474,0,0.333666,0.342026,0.384520,2
0.127551,0.015306,0,0,0.051282,0,0.155615,0.159715,0.169557,0
0.001241,0.055831,0,0,0.014277,0,0.632099,0.668758,0.767244,0
0.004077,0.028169,0,0,0.003337,0,0.796270,0.845236,0.976325,2
0,0.086957,0,0,0,0,0.666810,0.701035,0.808480,0
0.031712,0.063425,0,0,0.050794,0,0.210932,0.217959,0.232511,0
0.02809,0,0,0,0.056497,0,0.386263,0.407902,0.457501,0
0,0.081778,0,0,0.02669,0,0.622623,0.655420,0.753025,0
0,0.003759,0,0,0.006582,0,0.863628,0.917987,1.060955,0
0,0.114754,0,0,0.004115,0,0.596491,0.624641,0.719074,0
0,0.125152,0,0,0.085158,0,0.249345,0.251014,0.275514,0
0.011236,0.129213,0,0,0.022599,0,0.251573,0.255091,0.281343,0
0,0.090997,0,0,0.028101,0,0.587356,0.616533,0.706519,0
0.000666,0.01932,0,0,0.006667,0,0.785127,0.833074,0.961041,0
0.022581,0.158065,0,0,0,0,0.480143,0.500123,0.573477,0
0,0.174142,0,0,0.050198,0,0.249112,0.249487,0.272212,0
0,0.032864,0,0,0.037736,0,0.507843,0.534998,0.612516,1
0,0.053026,0,0,0.008651,0,0.674851,0.713547,0.821176,0
0,0.000725,0,0,0.003625,0,0.856681,0.910706,1.052139,0
0,0.106529,0,0,0.003448,0,0.667661,0.701557,0.809871,0
0,0.106638,0,0,0.043573,0,0.309624,0.315764,0.353714,0
0,0.067308,0,0,0.014493,0,0.328507,0.347538,0.390110,1
0,0.118681,0,0,0.016502,0,0.480959,0.501647,0.573694,0
0.013958,0.010806,0,0,0.005405,0.00045,0.677106,0.719514,0.828421,1
0.020057,0.091691,0,0,0.008621,0,0.418503,0.437288,0.499005,0
0,0.080717,0,0,0.067568,0,0.295472,0.303348,0.339976,0
0.023474,0.061033,0,0,0.023585,0,0.057520,0.058469,0.051271,1
0.045952,0.06674,0,0,0.01862,0,0.298492,0.317219,0.351947,0
0.05807,0.005944,0,0,0.007319,0,0.511700,0.545401,0.624956,0
0.030418,0.060837,0,0,0.022901,0,0.411433,0.434561,0.493702,0
0,0.10962,0,0,0.051512,0,0.310851,0.317327,0.352710,0
0,0.105023,0,0,0.018349,0,0.554622,0.579955,0.666329,0
0,0.085619,0,0,0.021631,0,0.624558,0.657101,0.754657,0
0.004773,0.025776,0,0,0.003343,0,0.777219,0.824276,0.952194,0
0,0.076642,0,0,0.007326,0,0.646636,0.679176,0.782985,0
0.011677,0.117834,0,0,0.058448,0,0.261019,0.264949,0.289464,0
0,0.102151,0,0,0.010811,0,0.456587,0.472291,0.539841,1
0,0.030023,0,0,0.075145,0,0.407510,0.426105,0.479054,0
0.005031,0.022918,0,0,0.002796,0,0.803093,0.852261,0.984952,0
0,0.119522,0,0,0.004,0,0.557207,0.581528,0.667068,0
0.002347,0.156103,0,0,0.06228,0,0.295661,0.300412,0.335721,0
0,0.085,0,0,0.015075,0,0.433647,0.453216,0.518865,0
0,0.113171,0,0,0.016602,0,0.501646,0.523280,0.600702,0
0.005213,0.017062,0,0,0.004267,0,0.792871,0.842185,0.972999,0
0,0.138973,0,0,0.00303,0,0.670985,0.704145,0.812025,0
0,0.028019,0,0,0.101547,0,0.315490,0.327542,0.362386,0
0,0.078704,0,0,0.04186,0,0.391267,0.408318,0.464118,0
0,0.098843,0,0,0.024211,0,0.504985,0.527042,0.603386,0
0.002912,0.012231,0,0,0.006993,0,0.831364,0.883029,1.020921,0
0,0.13355,0,0,0.006536,0,0.642036,0.673541,0.776834,0
0,0.07394,0,0,0.06769,0,0.309711,0.319125,0.356257,0
0,0.049383,0,0,0.055901,0,0.393873,0.410591,0.462497,0
0,0.06619,0,0,0.021486,0,0.554900,0.584297,0.669353,1
0.017449,0.011421,0,0,0.005078,0,0.748527,0.795555,0.918768,2
0,0.069401,0,0,0.018987,0,0.575669,0.606469,0.696791,0
0,0.096296,0,0,0.061441,0,0.305060,0.312270,0.350221,1
0.003802,0.087452,0,0,0.007634,0,0.522457,0.547536,0.626383,0
0.00625,0.11875,0,0,0.026283,0,0.459870,0.479092,0.546434,0
0.016839,0.016192,0,0,0.005185,0,0.654487,0.694803,0.799919,0
0,0.127413,0,0,0.011628,0,0.604018,0.633021,0.729272,0
0.007928,0.075878,0,0,0.064626,0,0.200773,0.206806,0.221784,0
0,0.096273,0,0,0.012461,0,0.578767,0.605957,0.696167,1
0,0.1339,0,0,0.017021,0,0.471891,0.490633,0.561450,0
0.001793,0.016139,0,0,0.001794,0,0.801184,0.851113,0.981758,0
0,0.145897,0,0,0.003049,0,0.652234,0.683353,0.788039,0
0,0.091434,0,0,0.058767,0,0.293707,0.301578,0.337073,0
0.010204,0.081633,0,0,0.046154,0,0.276536,0.285302,0.319373,0
0.007476,0.086256,0,0,0.018987,0,0.435913,0.457613,0.521059,0
0.019898,0.014213,0,0,0.010808,0,0.661458,0.702752,0.809281,0
0,0.183333,0,0,0,0,0.597152,0.623592,0.718011,0
0.012036,0.051153,0,0,0.052209,0,0.260307,0.270938,0.297799,0
0.039427,0.043011,0,0,0.003597,0,0.359077,0.378765,0.428621,1
0.061493,0.032211,0,0,0.008059,0,0.223177,0.239821,0.263286,0
0.048689,0.01573,0,0,0.002999,0,0.480805,0.511521,0.584608,0
0.097403,0.090909,0,0,0.003257,0,0.388741,0.407766,0.463266,0
0,0.060706,0,0,0.099448,0,0.240131,0.243848,0.265595,0
0,0.085,0,0,0.025126,0,0.412430,0.428939,0.487610,0
0.020979,0.035839,0,0,0.019248,0,0.490353,0.517334,0.590648,0
0.015199,0.017733,0,0,0.000634,0,0.786297,0.834986,0.965178,0
0,0.169435,0,0,0,0,0.626980,0.655871,0.756265,0
0,0.087666,0,0,0.089796,0,0.339967,0.350878,0.394873,0
0,0.11399,0,0,0.03125,0,0.371717,0.385056,0.437236,0
0.008989,0.122472,0,0,0.033746,0,0.480880,0.501607,0.573871,0
0,0.022059,0,0,0.004138,0,0.805826,0.854513,0.987531,1
0,0.145695,0,0,0.003322,0,0.643380,0.674650,0.777705,0
0,0.04626,0,0,0.063054,0,0.350175,0.363352,0.408874,0
0,0.148325,0,0,0,0,0.476415,0.492303,0.560674,0
0,0.105473,0,0,0.028884,0,0.578861,0.606778,0.695526,0
0.002101,0.02381,0,0,0.002102,0,0.785438,0.832773,0.961392,0
0,0.153846,0,0,0,0,0.613563,0.640484,0.738115,0
0,0.131929,0,0,0.067703,0,0.245788,0.247975,0.267833,0
0,0.166667,0,0,0.041916,0,0.362508,0.372193,0.421965,0
0,0.059774,0,0,0.01899,0,0.701801,0.740995,0.854281,2
0,0.012573,0,0,0.006773,0,0.825855,0.876518,1.013110,1
0,0.141176,0,0,0.0059,0,0.659547,0.691115,0.796359,0
0,0.070159,0,0,0.070225,0,0.313767,0.325559,0.360942,0
0.020833,0.182292,0,0,0.020942,0,0.168752,0.167366,0.180954,0
0.004662,0.125874,0,0,0.010502,0,0.427775,0.444542,0.507826,0
0.017849,0.010984,0,0,0.005952,0,0.795839,0.845257,0.976547,0
0,0.140523,0,0,0.003279,0,0.638597,0.668846,0.771359,0
