@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
1,2,0.138438,5.387275,0.827107,0
2,12,0.118408,4.290943,1.892732,2
3,7,0.342397,3.750212,1.034071,1
4,2,0.882675,2.968468,1.167277,0
5,7,-0.42141,4.668016,1.13207,0
1,2,0.195893,5.612044,0.946669,0
2,8,0.089418,5.015264,0.656303,0
3,7,-0.026185,3.981518,1.092556,0
4,2,1.076338,4.006695,1.051807,0
5,7,-0.231659,4.225795,0.950741,0
1,2,0.17137,5.412522,0.700994,1
2,8,0.000845,4.533209,0.798469,0
3,7,0.460758,3.042725,0.685493,0
4,2,0.634562,4.254125,1.017509,0
5,7,-0.336765,3.879643,1.0153,1
1,2,-0.124299,4.485791,0.86314,0
2,12,-0.018871,4.290601,1.407384,0
3,10,-0.063721,4.128358,1.267012,1
4,2,0.950341,3.831747,0.920331,0
5,9,-0.076758,4.150492,1.369138,1
1,2,0.444226,3.64003,0.87788,0
2,8,0.029938,3.250854,0.740889,0
3,2,0.07154,3.13997,0.583186,0
4,2,0.874186,3.05365,0.985498,0
5,7,-0.226791,3.752728,0.997308,0
1,2,0.061697,4.984469,0.948307,0
2,8,0.127284,4.892,0.923054,0
3,7,0.166968,4.414368,0.901771,1
4,2,0.883029,2.440765,0.914615,0
5,7,-0.114208,4.977835,0.908055,0
1,2,0.413147,5.77454,1.007269,0
2,8,0.145859,3.853193,1.090952,0
3,5,0.104985,3.006312,1.174702,0
4,2,1.537946,6.408688,1.082676,0
5,7,-0.377724,3.710599,1.125367,0
1,2,0.100312,5.387828,0.856588,0
2,8,-0.176794,5.013164,1.141143,0
3,4,-0.030753,3.506631,0.764473,0
4,2,1.270495,3.513744,0.936337,0
5,7,-0.171456,4.205279,0.989547,0
1,2,0.342217,5.624294,1.177604,0
2,8,0.111768,4.629398,0.866494,0
3,7,0.356222,3.739454,0.994415,0
4,2,0.817149,2.709784,0.945483,0
5,7,-0.37711,5.229867,1.11302,0
1,2,-0.285313,5.306196,0.843486,0
2,8,0.007947,3.733265,0.68866,0
3,7,0.390194,3.624596,0.640004,0
4,2,0.824399,3.336079,0.905469,0
5,7,-0.137315,4.985496,0.976494,1
1,2,0.221265,6.049521,0.897534,0
2,8,-0.045668,4.852233,0.703182,0
3,6,0.499306,3.869079,0.724816,1
4,2,0.302054,2.801379,0.952343,0
5,7,-0.180892,4.620474,0.912288,0
1,2,0.678295,6.480149,0.75668,0
2,8,-0.072206,3.260765,0.775029,0
3,3,0.943991,4.067144,0.707821,0
4,2,1.121968,3.791195,0.984354,0
5,7,-0.29501,6.652536,1.225204,0
1,2,-0.154288,4.096242,0.810729,0
2,8,-0.127578,3.18945,1.085092,0
3,5,0.306951,3.7363,0.646503,0
4,2,0.830764,3.996101,1.009506,0
5,7,-0.041428,3.730318,0.876305,0
1,2,-0.349135,4.819002,1.126831,1
2,14,0.085322,4.238523,2.605596,2
3,6,0.082328,4.220442,1.076227,2
4,3,0.890988,3.351985,0.939767,0
5,7,-0.210431,5.149257,0.964853,2
1,2,0.778319,5.661878,0.890983,0
2,10,0.051495,4.04139,1.282798,0
3,7,0.633367,3.437098,1.074894,0
4,2,0.987282,2.84464,0.916902,0
5,7,-0.461608,5.123771,1.054459,0
1,2,0.408317,4.151927,0.853313,0
2,8,0.019064,4.201903,0.861143,0
3,6,0.073973,3.295283,0.954758,0
4,2,0.86134,3.186567,0.938624,0
5,6,-0.256271,4.554069,0.780702,0
1,2,0.058358,6.101586,0.972875,0
2,8,-0.007119,4.702139,0.889678,0
3,4,0.27426,4.769537,1.246851,1
4,2,1.158726,3.006776,0.850592,0
5,7,-0.253322,3.703772,1.005069,0
1,2,0.332293,4.426246,0.895896,0
2,8,0.344487,3.059064,0.754902,0
3,7,0.486094,3.351255,0.860615,0
4,2,1.276635,3.523456,0.924904,0
5,7,-0.159765,3.757688,1.075978,0
1,2,0.118405,4.660529,0.825469,0
2,8,0.149853,3.968782,0.676686,0
3,3,0.474068,3.815871,0.587351,0
4,2,1.376673,2.739084,1.00036,0
5,7,-0.35679,4.289719,1.126426,1
1,2,-0.386757,2.488381,0.99908,0
2,9,-0.030991,3.687866,0.939105,1
3,5,-0.452523,3.541463,0.806462,0
4,2,0.856731,3.080117,0.879174,0
5,8,-0.00911,3.781682,2.127614,0
1,2,0.19392,4.961143,0.646945,0
2,10,-0.173346,4.093473,1.277448,0
3,5,0.195403,3.879328,0.907937,1
4,2,0.623516,4.229915,0.82544,0
5,7,-0.108896,5.030177,0.861135,0
1,2,0.295721,4.539792,0.825469,0
2,8,0.071456,3.890653,0.687896,0
3,4,0.357891,4.0526,0.621842,0
4,2,0.719939,4.126804,0.927191,0
5,7,-0.290873,4.804256,0.922166,0
1,2,-0.065038,5.269266,1.159588,1
2,8,0.077204,4.543385,0.998723,2
3,8,0.064945,4.473364,1.322332,2
4,2,0.517294,3.152967,1.091822,0
5,7,-0.080641,4.429462,1.027647,2
1,2,0.217747,4.222658,1.054767,0
2,8,-0.035068,3.485899,0.914646,0
3,7,-0.066185,3.585223,0.998414,1
4,2,1.086611,2.988807,0.960346,0
5,7,-0.098004,3.652439,0.889358,1
