@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature279 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.078889,0,0,0,0.05673,0.01891,0,0.250671,0.250751,0.273916,0
0,0.062241,0,0,0,0.05,0.004167,0,0.574846,0.596182,0.683753,1
0,0.079487,0,0,0,0.065868,0.005988,0,0.646274,0.671540,0.771098,2
0,0.006809,0,0,0,0.003895,0.000974,0,0.897916,0.941355,1.089064,1
0,0.064639,0,0,0,0.041985,0.022901,0,0.648454,0.672503,0.773197,0
0,0.086705,0,0,0,0.061716,0.020251,0,0.320220,0.323293,0.360030,2
0,0.063953,0,0,0,0.023392,0.035088,0,0.412199,0.419586,0.477941,0
0.007048,0.068128,0,0,0,0.061129,0.004702,0,0.613559,0.638236,0.733283,1
0,0.02049,0,0,0,0.0165,0.004,0,0.863247,0.903783,1.045368,2
0,0.084175,0,0,0,0.054054,0.023649,0,0.664212,0.689179,0.793944,1
0,0.079399,0,0,0,0.051557,0.019334,0,0.227924,0.227047,0.245246,1
0,0.152284,0,0,0,0.122449,0.010204,0,0.422984,0.430416,0.493787,2
0.000723,0.095445,0,0,0,0.086107,0.000724,0,0.477396,0.493268,0.562633,1
0.02725,0.004955,0,0,0,0.003717,0.000413,0,0.696300,0.731049,0.841151,0
0,0.05,0,0,0,0.030888,0.019305,0,0.667770,0.694400,0.799011,0
0,0.076426,0,0,0,0.046336,0.025862,0,0.338394,0.342026,0.384520,2
0.127551,0.015306,0,0,0,0.005128,0,0,0.157453,0.159715,0.169557,0
0.001241,0.055831,0,0,0,0.047796,0.005587,0,0.640301,0.668758,0.767244,0
0.004077,0.028169,0,0,0,0.02373,0.003337,0,0.807319,0.845236,0.976325,2
0,0.086957,0,0,0,0.060403,0.020134,0,0.676139,0.701035,0.808480,0
0.031712,0.063425,0,0,0,0.037037,0.020106,0,0.212318,0.217959,0.232511,0
0.02809,0,0,0,0,0,0,0,0.391788,0.407902,0.457501,0
0,0.081778,0,0,0,0.071174,0.004448,0,0.631432,0.655420,0.753025,0
0,0.003759,0,0,0,0.002351,0.00047,0,0.875822,0.917987,1.060955,0
0,0.114754,0,0,0,0.08642,0.028807,0,0.604899,0.624641,0.719074,0
0,0.125152,0,0,0,0.096107,0.027981,0,0.252855,0.251014,0.275514,0
0.011236,0.129213,0,0,0,0.107345,0.016949,0,0.254866,0.255091,0.281343,0
0,0.090997,0,0,0,0.081395,0.008721,0,0.595609,0.616533,0.706519,0
0.000666,0.01932,0,0,0,0.015333,0.003333,0,0.796156,0.833074,0.961041,0
0.022581,0.158065,0,0,0,0.126214,0.029126,0,0.486446,0.500123,0.573477,0
0,0.174142,0,0,0,0.136063,0.030383,0,0.252392,0.249487,0.272212,0
0,0.032864,0,0,0,0.023585,0,0,0.515339,0.534998,0.612516,1
0,0.053026,0,0,0,0.04729,0.000577,0,0.684301,0.713547,0.821176,0
0,0.000725,0,0,0,0,0.000362,0,0.868768,0.910706,1.052139,0
0,0.106529,0,0,0,0.086207,0.017241,0,0.677093,0.701557,0.809871,0
0,0.106638,0,0,0,0.065359,0.038126,0,0.314028,0.315764,0.353714,0
0,0.067308,0,0,0,0.043478,0.004831,0,0.330209,0.347538,0.390110,1
0,0.118681,0,0,0,0.10341,0.0044,0,0.487781,0.501647,0.573694,0
0.013958,0.010806,0,0.000901,0,0.006757,0.002703,0.00045,0.685930,0.719514,0.828421,1
0.020057,0.091691,0,0,0,0.063218,0.014368,0,0.424092,0.437288,0.499005,0
0,0.080717,0,0,0,0.058559,0.022523,0,0.299819,0.303348,0.339976,0
0.023474,0.061033,0,0,0,0.042453,0.014151,0,0.055346,0.058469,0.051271,1
0.045952,0.06674,0,0,0,0.05805,0.004381,0,0.299037,0.317219,0.351947,0
0.05807,0.005944,0,0,0,0.003202,0.002745,0,0.517966,0.545401,0.624956,0
0.030418,0.060837,0,0,0,0.045802,0.007634,0,0.415312,0.434561,0.493702,0
0,0.10962,0,0,0,0.073908,0.029115,0,0.315088,0.317327,0.352710,0
0,0.105023,0,0,0,0.073394,0.027523,0,0.562348,0.579955,0.666329,0
0,0.085619,0,0,0,0.072379,0.009983,0,0.633346,0.657101,0.754657,0
0.004773,0.025776,0,0,0,0.019102,0.004776,0,0.788112,0.824276,0.952194,0
0,0.076642,0,0,0,0.062271,0.014652,0,0.655679,0.679176,0.782985,0
0.011677,0.117834,0,0,0,0.089267,0.022317,0,0.264568,0.264949,0.289464,0
0,0.102151,0,0,0,0.081081,0.021622,0,0.462875,0.472291,0.539841,1
0,0.030023,0,0,0,0.020809,0.006936,0,0.413162,0.426105,0.479054,0
0.005031,0.022918,0,0.000559,0,0.017897,0.003915,0,0.814307,0.852261,0.984952,0
0,0.119522,0,0,0,0.092,0.02,0,0.564920,0.581528,0.667068,0
0.002347,0.156103,0,0,0,0.128085,0.019976,0,0.299605,0.300412,0.335721,0
0,0.085,0,0,0,0.050251,0.015075,0,0.439739,0.453216,0.518865,0
0,0.113171,0,0,0,0.105469,0.003906,0,0.508789,0.523280,0.600702,0
0.005213,0.017062,0,0,0,0.01138,0.00569,0,0.803966,0.842185,0.972999,0
0,0.138973,0,0,0,0.118182,0.018182,0,0.680394,0.704145,0.812025,0
0,0.028019,0,0,0,0.012573,0.010638,0,0.319971,0.327542,0.362386,0
0,0.078704,0,0,0,0.060465,0.009302,0,0.396700,0.408318,0.464118,0
0,0.098843,0,0,0,0.083158,0.009474,0,0.512183,0.527042,0.603386,0
0.002912,0.012231,0,0,0,0.006993,0.003497,0,0.843091,0.883029,1.020921,0
0,0.13355,0,0,0,0.107843,0.019608,0,0.651105,0.673541,0.776834,0
0,0.07394,0,0,0,0.054152,0.01444,0,0.314251,0.319125,0.356257,0
0,0.049383,0,0,0,0.031056,0.006211,0,0.399327,0.410591,0.462497,0
0,0.06619,0,0,0,0.057296,0.004476,0,0.562775,0.584297,0.669353,1
0.017449,0.011421,0,0,0,0.007617,0.002856,0,0.758867,0.795555,0.918768,2
0,0.069401,0,0,0,0.044304,0.018987,0,0.583397,0.606469,0.696791,0
0,0.096296,0,0,0,0.066737,0.026483,0,0.309479,0.312270,0.350221,1
0.003802,0.087452,0,0,0,0.057252,0.015267,0,0.529593,0.547536,0.626383,0
0.00625,0.11875,0,0,0,0.110138,0.002503,0,0.466426,0.479092,0.546434,0
0.016839,0.016192,0,0,0,0.009721,0.005185,0,0.663227,0.694803,0.799919,0
0,0.127413,0,0,0,0.104651,0.01938,0,0.612588,0.633021,0.729272,0
0.007928,0.075878,0,0,0,0.05102,0.017007,0,0.201433,0.206806,0.221784,0
0,0.096273,0,0,0,0.068536,0.021807,0,0.586682,0.605957,0.696167,1
0,0.1339,0,0,0,0.120213,0.008511,0,0.478588,0.490633,0.561450,0
0.001793,0.016139,0,0,0,0.010167,0.005981,0,0.812098,0.851113,0.981758,0
0,0.145897,0,0,0,0.118902,0.018293,0,0.661388,0.683353,0.788039,0
