@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.119658,0,0,0,0,0,0.128883,0.132514,0.139955,0
9,0,0,0,0.003106,0,0,0.595353,0.635116,0.723775,0
9,0.00309,0,0,0.004329,0,0,0.766052,0.819738,0.939683,2
9,0,0,0,0.016854,0,0,0.629170,0.665465,0.760557,0
9,0.021127,0,0,0.010582,0,0,0.193308,0.199832,0.212027,0
9,0.018868,0,0,0,0,0,0.340186,0.360670,0.400808,0
9,0,0,0,0.002967,0,0,0.586013,0.622527,0.710694,0
9,0,0,0,0,0,0,0.832083,0.891351,1.021982,0
9,0,0,0,0.034483,0,0,0.563577,0.593372,0.676966,0
9,0,0,0,0.028455,0,0,0.224307,0.225259,0.242908,0
9,0,0,0,0.028302,0,0,0.224748,0.227848,0.251203,0
9,0,0,0,0.011309,0,0,0.549672,0.581556,0.661493,0
9,0,0,0,0.003333,0,0,0.750549,0.802543,0.918758,0
9,0.016129,0,0,0.043243,0,0,0.448135,0.470054,0.535604,0
9,0,0,0,0.02649,0,0,0.219758,0.220813,0.239901,0
9,0,0,0,0,0,0,0.473668,0.503244,0.571531,1
9,0,0,0,0,0,0,0.639504,0.682133,0.780233,0
9,0,0,0,0,0,0,0.824937,0.883892,1.013386,0
9,0,0,0,0.028736,0,0,0.630409,0.667823,0.764931,0
