@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.028037,0,0,0.037736,0.310316,0.313881,0.358599,0
0.013769,0,0,0.008621,0.445443,0.465091,0.537437,0
0.001431,0,0,0.001433,0.815179,0.861564,1.010765,0
0,0,0,0.035088,0.616009,0.641768,0.749995,0
0,0,0,0.014184,0.299746,0.307689,0.344959,0
0.078261,0,0,0.008772,0.185851,0.192884,0.209886,0
0.024862,0,0,0.002766,0.255730,0.270421,0.306042,0
0.037893,0,0,0.0037,0.593620,0.626574,0.732049,1
0,0,0,0.037975,0.501434,0.519864,0.604222,0
0.009728,0,0,0.017544,0.159828,0.165153,0.173843,0
0,0,0,0.041322,0.429405,0.440892,0.510052,0
0,0,0,0.007018,0.607627,0.638552,0.746075,0
0.021292,0,0,0.004261,0.664359,0.702426,0.821826,0
0.005291,0,0,0.037234,0.497546,0.516320,0.600411,0
0,0,0,0.014151,0.258742,0.265092,0.290555,0
0,0,0,0.019417,0.313980,0.318843,0.362038,0
0,0,0,0.005593,0.580638,0.611828,0.713382,0
0,0,0,0.002183,0.787380,0.831732,0.974498,0
0,0,0,0.012346,0.532142,0.555768,0.646377,0
0.028571,0,0,0.019678,0.192889,0.197641,0.211528,0
0,0,0,0.021127,0.445650,0.461318,0.532328,0
0.005882,0,0,0.002946,0.459828,0.481030,0.558170,0
0,0,0,0.005034,0.797979,0.841672,0.986782,0
0,0,0,0.02439,0.567591,0.591055,0.690945,0
0,0,0,0.007949,0.299550,0.308606,0.343778,0
0.009804,0,0,0,0.103338,0.107084,0.109156,0
0.003704,0,0,0.009276,0.360821,0.375331,0.430834,0
0,0,0,0.007823,0.767363,0.808305,0.946670,0
0,0,0,0.038217,0.547049,0.566761,0.661882,0
0.0217,0,0,0.012681,0.138667,0.140695,0.146322,1
0,0,0,0.018519,0.374842,0.384460,0.440692,0
0,0,0,0.005455,0.490835,0.513403,0.597356,0
0,0,0,0.004608,0.806330,0.850957,0.998044,1
0,0,0,0.006061,0.617940,0.646337,0.752841,0
0,0,0,0.011628,0.246157,0.250693,0.277930,0
0,0,0,0.032967,0.303215,0.299098,0.340117,0
0.016447,0,0,0.004942,0.467909,0.488839,0.568353,0
0.007067,0,0,0.004717,0.748701,0.791192,0.927744,0
0,0,0,0.017544,0.439417,0.460297,0.532634,0
0.012968,0,0,0.012987,0.223132,0.231135,0.255529,0
0,0,0,0.020619,0.142426,0.140429,0.149633,0
0.00235,0,0,0.005882,0.586598,0.615809,0.718254,0
0,0,0,0.002584,0.766986,0.810154,0.949390,0
0.039773,0,0,0.022857,0.369882,0.384263,0.445489,0
0.010081,0,0,0.022222,0.234606,0.240560,0.266515,0
0,0,0,0.014706,0.470367,0.490101,0.565571,1
0,0,0,0.005382,0.744049,0.784039,0.918823,2
0,0,0,0.002326,0.813045,0.858270,1.006506,2
0,0,0,0.04908,0.521223,0.539369,0.626154,0
