@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1168 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.040816,0,0,0,0,0,0.575244,0.611953,0.719557,0
0,0,0,0,0,0,0.003236,0,0,0.264725,0.274798,0.305017,0
0,0,0,0,0,0,0,0,0,0.304379,0.321303,0.365791,0
0,0,0,0.014085,0,0.014085,0.003521,0,0,0.398462,0.422992,0.495150,0
0.001942,0,0,0,0,0.001946,0,0,0,0.736357,0.794362,0.939194,0
0,0,0,0.032967,0,0.010989,0,0,0,0.550020,0.585643,0.688456,0
0,0,0,0.006042,0,0.003021,0.003021,0,0,0.252571,0.260200,0.291168,0
0,0,0,0,0,0,0,0,0,0.315729,0.329249,0.368049,0
0,0,0,0.005988,0,0.005988,0,0,0,0.440684,0.472430,0.552612,1
0.004233,0.001059,0,0,0,0,0.001059,0,0,0.646539,0.697753,0.824627,2
0,0,0,0,0,0,0,0,0,0.490999,0.522313,0.608987,0
0,0,0,0.014184,0,0,0.003546,0,0,0.247380,0.251531,0.279536,1
0,0,0,0.025974,0,0,0,0,0,0.435130,0.459333,0.532350,0
0,0,0.004184,0,0,0,0.004184,0,0,0.350231,0.373522,0.435365,0
0.00432,0,0.004329,0,0,0.002165,0.002165,0,0,0.539950,0.581167,0.684392,0
0,0,0,0.013158,0,0,0,0,0,0.491039,0.520825,0.608796,0
0.003774,0,0.003788,0.003788,0,0.003788,0.007576,0,0,0.152559,0.155974,0.161618,0
0,0,0,0.010526,0,0,0,0,0,0.490835,0.512096,0.595565,1
0,0,0.007117,0.003559,0,0.003559,0.007117,0,0,0.362214,0.385409,0.450343,0
0,0,0,0.002,0,0,0,0,0,0.707577,0.763541,0.901894,0
0,0,0.010309,0.020619,0,0.010309,0.010309,0,0,0.566716,0.600536,0.706328,0
0,0,0,0.003226,0,0,0,0,0,0.242636,0.250795,0.278647,0
0,0,0,0,0,0,0.017544,0,0,0.205162,0.209061,0.229868,0
0,0,0,0.007692,0,0.003846,0.005769,0,0,0.338947,0.362200,0.420802,0
0.009488,0,0,0,0,0,0,0,0,0.568455,0.613180,0.721685,0
0,0,0,0.037383,0,0.018692,0.009346,0,0,0.512551,0.540291,0.634417,0
0.003344,0,0,0.010067,0,0.003356,0.003356,0,0,0.202742,0.211711,0.229969,0
0.012048,0,0,0,0,0,0,0,0,0.268686,0.282791,0.319546,1
0.02934,0,0,0.002451,0,0,0,0,0,0.175438,0.191204,0.210619,0
0.0075,0,0.005013,0,0,0.010025,0.007519,0,0,0.388495,0.418030,0.489254,0
0.076087,0,0,0.021978,0,0.010989,0,0,0,0.305301,0.321400,0.370812,0
0,0,0,0.007407,0,0.007407,0,0,0,0.192303,0.190955,0.204774,0
0,0,0,0,0,0,0,0,0,0.335876,0.347141,0.393401,0
0.008746,0,0,0,0,0,0,0,0,0.373762,0.399968,0.465375,0
0.004228,0,0,0.002119,0,0,0,0,0,0.682713,0.736509,0.870939,0
0,0,0.011236,0.033708,0,0.022472,0.011236,0,0,0.534907,0.567243,0.667722,0
0,0,0,0.003413,0,0.003413,0.003413,0,0,0.277588,0.288043,0.323108,0
0,0,0,0,0,0,0,0,0,0.293430,0.305039,0.344791,0
0.003745,0,0.003759,0.011278,0,0.007519,0,0,0,0.377756,0.403269,0.471433,0
0,0,0,0,0,0.001534,0,0,0,0.709859,0.764041,0.902167,1
0,0,0,0.022472,0,0.022472,0,0,0,0.540095,0.575917,0.677651,0
0,0,0.003289,0,0,0.003289,0.009868,0,0,0.290455,0.302170,0.340525,0
0,0,0.016393,0.032787,0,0.016393,0.032787,0,0,0.394455,0.406778,0.469405,0
0,0,0,0.01,0,0.013333,0,0,0,0.473979,0.506692,0.594215,0
0,0,0.004684,0.002342,0,0.004684,0.002342,0,0,0.679217,0.731174,0.863504,0
0,0,0,0.034091,0,0.011364,0,0,0,0.521360,0.548466,0.643870,0
0,0,0,0.026022,0,0.003717,0,0,0,0.187455,0.187972,0.201515,0
0,0,0,0.020408,0,0,0,0,0,0.291937,0.301598,0.341479,0
0,0,0,0.006748,0,0.005398,0,0,0,0.605589,0.650910,0.767613,2
0,0,0,0,0,0,0,0,0,0.731480,0.787928,0.931034,1
0,0,0,0.039604,0,0.009901,0,0,0,0.571483,0.605490,0.712074,0
0,0,0,0.003135,0,0,0,0,0,0.264879,0.275335,0.306079,0
0,0,0,0.035714,0,0,0,0,0,0.119972,0.116573,0.119286,0
0,0,0,0.015625,0,0.007812,0,0,0,0.313937,0.332295,0.386824,0
0.012214,0,0,0,0,0,0,0,0,0.699326,0.754673,0.891625,0
0,0,0.022222,0.022222,0,0.011111,0,0,0,0.555936,0.587328,0.689157,0
0,0,0,0.018657,0,0.003731,0.007463,0,0,0.200431,0.200427,0.214766,0
0,0,0,0.04878,0,0,0,0,0,0.171691,0.170069,0.188087,1
0.003195,0,0,0,0,0,0,0,0,0.327577,0.348779,0.405039,0
0,0,0.002439,0.002439,0,0.014634,0.002439,0,0,0.674387,0.722734,0.852885,0
0,0,0,0,0,0,0,0,0,0.537939,0.571106,0.670709,0
0,0,0.003497,0.003497,0,0.003497,0,0,0,0.288441,0.300048,0.335835,1
0.038462,0,0,0,0,0,0,0,0,0.174944,0.183355,0.193008,0
0.009058,0,0.00363,0.010889,0,0.005445,0.001815,0,0,0.527689,0.567069,0.665388,0
0.005263,0.002635,0,0.001318,0,0,0.001318,0,0,0.560818,0.605405,0.714020,1
0,0,0,0,0,0,0,0,0,0.531125,0.561034,0.656736,0
0,0,0,0.010336,0,0,0,0,0,0.230408,0.240937,0.264848,1
0,0,0,0.019231,0,0.019231,0,0,0,0.243511,0.238335,0.268807,0
0.006897,0,0.00692,0.013841,0,0.00692,0.00692,0,0,0.379258,0.402870,0.467541,0
0,0,0,0.002874,0,0,0,0,0,0.746731,0.806894,0.955225,0
0,0,0.023529,0.047059,0,0.023529,0.011765,0,0,0.550277,0.583819,0.685672,0
0,0,0.003559,0.010676,0,0.003559,0.003559,0,0,0.260551,0.269830,0.300979,0
0.070175,0,0,0,0,0,0,0,0,0.133104,0.137185,0.140051,0
0.002762,0,0.00554,0.00277,0,0,0.00554,0,0,0.206323,0.222881,0.252329,0
0.020333,0,0.001852,0.001852,0,0.001852,0.001852,0,0,0.529101,0.570533,0.671505,1
0,0,0,0.012821,0,0.012821,0,0,0,0.461893,0.481255,0.560755,0
0.007782,0,0,0.003906,0,0,0,0,0,0.147819,0.150124,0.152996,0
0,0,0,0.033333,0,0,0,0,0,0.392567,0.404932,0.463634,0
0,0,0,0.004684,0,0.004684,0,0,0,0.540947,0.580511,0.682999,0
0.012784,0,0,0.001422,0,0.001422,0.001422,0,0,0.590943,0.638102,0.753070,0
0,0,0,0.043011,0,0.010753,0,0,0,0.436267,0.458302,0.535250,0
0,0,0,0.009464,0,0,0,0,0,0.224857,0.230689,0.252644,0
0,0,0,0,0,0,0,0,0,0.273082,0.273471,0.306581,0
0,0,0.002242,0.006726,0,0,0.002242,0,0,0.520258,0.560341,0.658393,0
0,0,0,0,0,0,0,0,0,0.720713,0.777470,0.918156,0
0,0,0.025,0.0125,0,0.0125,0.025,0,0,0.466010,0.496283,0.579932,0
0.025,0,0,0.007168,0,0.003584,0,0,0,0.178926,0.180619,0.188432,0
0,0,0,0.014286,0,0,0,0,0,0.402301,0.419132,0.479487,0
0,0,0.00295,0.00295,0,0,0.00295,0,0,0.391889,0.419181,0.489647,0
0,0,0.001681,0,0,0.008403,0,0,0,0.729090,0.784629,0.927590,0
0,0,0,0.012346,0,0,0,0,0,0.494801,0.523506,0.613658,0
0,0,0,0.003185,0,0,0,0,0,0.271220,0.280687,0.311677,0
0,0,0,0,0,0,0,0,0,0.081675,0.085276,0.076358,0
0,0,0,0.018587,0,0,0.007435,0,0,0.296350,0.313640,0.362537,0
0,0,0,0,0,0.002611,0.002611,0,0,0.698198,0.749674,0.884526,0
0,0,0,0.051282,0,0,0,0,0,0.485155,0.509702,0.597219,0
0.01087,0,0,0.007273,0,0,0,0,0,0.129212,0.129882,0.131401,1
0,0,0,0.037736,0,0,0,0,0,0.329836,0.341922,0.389872,0
0,0,0,0,0,0,0,0,0,0.419250,0.448725,0.524906,0
0,0,0,0,0,0.006928,0,0,0,0.737590,0.794050,0.938767,1
0,0,0.012195,0.012195,0,0.012195,0.012195,0,0,0.565074,0.599079,0.700331,0
0,0,0.003891,0.007782,0,0,0,0,0,0.212306,0.214576,0.234642,0
0,0,0.022222,0.044444,0,0.022222,0.022222,0,0,0.278226,0.268023,0.301625,0
0.013158,0,0.006601,0.0033,0,0.0033,0.006601,0,0,0.398692,0.426641,0.498652,0
0.002358,0,0.004728,0,0,0.004728,0.004728,0,0,0.675110,0.728493,0.861590,0
0,0,0.011765,0,0,0,0.023529,0,0,0.396111,0.420577,0.487259,0
0.008646,0,0,0.00289,0,0.00289,0,0,0,0.191611,0.197911,0.215401,0
0,0,0,0.020833,0,0,0,0,0,0.114919,0.111180,0.111161,0
0,0,0,0.009434,0,0.004717,0,0,0,0.519684,0.558399,0.655844,0
0,0,0.002591,0,0,0.002591,0.002591,0,0,0.690457,0.745138,0.880599,0
0,0,0.011494,0.034483,0,0.011494,0.011494,0,0,0.333196,0.350905,0.407745,0
0.004032,0,0,0.004049,0,0,0.004049,0,0,0.192777,0.198519,0.215470,0
0,0,0,0.014925,0,0,0,0,0,0.421120,0.444958,0.509435,1
0,0,0,0.001959,0,0.001959,0.000979,0,0,0.675643,0.727889,0.860241,2
0,0,0,0.001553,0,0,0,0,0,0.745468,0.803928,0.950419,2
0,0,0.012346,0,0,0.037037,0.012346,0,0,0.464249,0.482911,0.562145,0
0,0,0,0.007353,0,0,0,0,0,0.252596,0.260102,0.289754,2
0,0,0,0.037736,0,0.018868,0.018868,0,0,0.330187,0.329530,0.378829,0
0,0,0.001992,0.005976,0,0.007968,0.003984,0,0,0.538164,0.578719,0.680677,0
0.00155,0.001553,0,0.001553,0,0.004658,0,0,0,0.678779,0.730711,0.863585,0
0,0,0,0.025316,0,0.025316,0,0,0,0.542104,0.572693,0.670747,0
0,0,0,0.003367,0,0,0,0,0,0.214052,0.219360,0.241418,0
0,0,0,0.078431,0,0,0,0,0,0.390148,0.401636,0.466565,0
0,0,0,0.008929,0,0.002976,0,0,0,0.456810,0.487725,0.569650,0
0,0,0,0,0,0.001751,0,0,0,0.669358,0.722362,0.853685,0
0,0,0,0.012346,0,0,0,0,0,0.554377,0.583993,0.684125,0
