@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.02439,0,0.574616,0.595407,0.690945,0
0,0,0,0.007949,0,0.303394,0.309951,0.343778,0
0.009804,0,0,0,0,0.102440,0.107125,0.109156,0
0.003704,0,0,0.009276,0,0.365037,0.377613,0.430834,0
0,0,0,0.007823,0,0.776569,0.814742,0.946670,0
0,0,0,0.038217,0,0.553875,0.570759,0.661882,0
0.0217,0,0,0.012681,0,0.138070,0.140736,0.146322,1
0,0,0,0.018519,0,0.379669,0.386657,0.440692,0
0,0,0,0.005455,0,0.496790,0.516937,0.597356,0
0,0,0,0.004608,0,0.815955,0.857828,0.998044,1
0,0,0,0.006061,0,0.625495,0.651157,0.752841,0
0,0,0,0.011628,0,0.249397,0.251542,0.277930,0
0,0,0,0.032967,0,0.307491,0.300376,0.340117,0
0.016447,0,0,0.004942,0,0.473552,0.492205,0.568353,0
0.007067,0,0,0.004717,0,0.757429,0.797631,0.927744,0
0,0,0,0.017544,0,0.442977,0.463595,0.532634,0
0.012968,0,0,0.012987,0,0.224748,0.232086,0.255529,0
0,0,0,0.020619,0,0.144333,0.140551,0.149633,0
0.00235,0,0,0.005882,0,0.593626,0.620382,0.718254,0
0,0,0,0.002584,0,0.776062,0.816694,0.949390,0
0.039773,0,0,0.022857,0,0.373771,0.387021,0.445489,0
0.010081,0,0,0.022222,0,0.236788,0.241547,0.266515,0
0,0,0,0.014706,0,0.476206,0.493415,0.565571,1
0,0,0,0.005382,0,0.752954,0.790237,0.918823,2
0,0,0,0.002326,0,0.822745,0.865202,1.006506,2
0,0,0,0.04908,0,0.527775,0.543128,0.626154,0
0,0,0,0.020183,0,0.287385,0.292523,0.327561,2
0,0,0,0.056075,0,0.376736,0.375977,0.431213,0
0,0,0,0.00597,0,0.613655,0.643112,0.745238,0
0.004651,0,0,0.006206,0,0.758592,0.797476,0.927144,0
0,0,0,0.018868,0,0.601359,0.623201,0.720137,0
0,0,0,0.015101,0,0.253297,0.256807,0.283620,0
0,0,0,0.048544,0,0.441031,0.447246,0.516443,0
0,0,0,0.005935,0,0.532990,0.555882,0.640053,0
0,0,0,0.002622,0,0.751329,0.790488,0.917777,0
0,0,0,0.02454,0,0.626714,0.649893,0.751429,0
0,0,0,0.020408,0,0.226365,0.226108,0.247764,0
0,0,0,0.008547,0,0.387367,0.397340,0.451978,0
0.005731,0,0,0.007174,0,0.437553,0.455228,0.523289,0
0.02607,0,0,0.002676,0,0.770648,0.811633,0.944003,1
0.040541,0,0,0.020408,0,0.242183,0.251947,0.284537,0
0,0,0,0.017606,0,0.266523,0.271111,0.300787,0
0.06,0,0,0.030303,0,0.079389,0.073357,0.071164,0
0,0,0,0.020755,0,0.432688,0.445905,0.510856,0
