@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.005882,0,0,0.002946,0,0.458607,0.484330,0.560323,0
0,0,0,0.005034,0,0.795446,0.848435,0.990425,0
0,0,0,0.02439,0,0.566145,0.595407,0.693703,0
0,0,0,0.007949,0,0.298930,0.309951,0.345376,0
0.009804,0,0,0,0,0.103341,0.107125,0.109185,0
0.003704,0,0,0.009276,0,0.359846,0.377613,0.432611,0
0,0,0,0.007823,0,0.764960,0.814742,0.950174,0
0,0,0,0.038217,0,0.545760,0.570759,0.664564,0
0.0217,0,0,0.012681,0,0.138696,0.140736,0.146657,1
0,0,0,0.018519,0,0.374179,0.386657,0.442632,0
0,0,0,0.005455,0,0.489490,0.516937,0.599742,0
0,0,0,0.004608,0,0.803739,0.857828,1.001699,1
0,0,0,0.006061,0,0.616277,0.651157,0.755726,0
0,0,0,0.011628,0,0.245921,0.251542,0.279282,0
0,0,0,0.032967,0,0.303342,0.300376,0.341899,0
0.016447,0,0,0.004942,0,0.466646,0.492205,0.570582,0
0.007067,0,0,0.004717,0,0.746219,0.797631,0.931075,0
0,0,0,0.017544,0,0.438330,0.463595,0.534435,0
0.012968,0,0,0.012987,0,0.222717,0.232086,0.256437,0
0,0,0,0.020619,0,0.142519,0.140551,0.150459,0
0.00235,0,0,0.005882,0,0.584818,0.620382,0.721027,0
0,0,0,0.002584,0,0.764478,0.816694,0.952874,0
0.039773,0,0,0.022857,0,0.368964,0.387021,0.446928,0
0.010081,0,0,0.022222,0,0.234182,0.241547,0.267666,0
0,0,0,0.014706,0,0.469164,0.493415,0.567806,1
0,0,0,0.005382,0,0.741682,0.790237,0.922244,2
0,0,0,0.002326,0,0.810399,0.865202,1.010177,2
0,0,0,0.04908,0,0.520092,0.543128,0.628674,0
0,0,0,0.020183,0,0.283865,0.292523,0.328958,2
0,0,0,0.056075,0,0.371452,0.375977,0.433336,0
0,0,0,0.00597,0,0.604982,0.643112,0.747999,0
0.004651,0,0,0.006206,0,0.747300,0.797476,0.930501,0
0,0,0,0.018868,0,0.592536,0.623201,0.722964,0
