@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature843 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.051282,0,0,0,0,0.012987,0.012987,0,0,0.534588,0.577033,0.661069,0
0,0.157556,0,0,0.009677,0.009677,0.022581,0,0,0,0.276826,0.282146,0.310625,2
0,0.019608,0,0.02,0,0,0,0.02,0,0,0.342613,0.351918,0.396236,0
0,0.067885,0,0,0.002618,0.007853,0.005236,0.007853,0,0,0.509692,0.559618,0.642765,1
0,0.013333,0,0,0,0.003339,0.001669,0.001669,0,0,0.751083,0.830754,0.960342,2
0,0.05618,0,0,0,0,0,0,0,0,0.556772,0.602990,0.692063,1
0,0.268817,0,0.003597,0.003597,0.010791,0.032374,0,0,0,0.172781,0.171291,0.180615,1
0,0.033898,0,0,0.017241,0.017241,0.017241,0,0,0,0.322566,0.343845,0.391400,2
0,0.074879,0,0.002421,0,0.002421,0.004843,0.002421,0,0,0.356403,0.389847,0.447439,1
0.009642,0.034435,0,0,0.001379,0,0.002759,0,0,0,0.571252,0.633072,0.729441,0
0,0.038462,0,0.025974,0,0,0.012987,0.012987,0,0,0.573927,0.623071,0.714067,0
0,0.118705,0,0,0.00361,0,0.01083,0.01083,0,0.00361,0.277785,0.281623,0.313266,2
0.103448,0.12069,0,0,0,0,0.052632,0,0,0,0.087058,0.086769,0.087669,0
0,0.047619,0,0.004149,0.004149,0.002075,0.010373,0.002075,0,0,0.532914,0.587567,0.673933,0
0,0.011125,0,0,0.00495,0.00495,0,0.001238,0,0,0.700323,0.774983,0.895471,2
0,0,0,0,0.011364,0.011364,0,0,0,0,0.562910,0.609964,0.701722,0
0.003521,0.140845,0,0,0,0,0.021201,0.003534,0,0,0.175973,0.182016,0.192187,0
0,0.339623,0,0,0,0,0,0,0,0,0.266605,0.286672,0.316910,0
0,0.091988,0,0,0,0.005952,0.008929,0.002976,0,0,0.515304,0.566147,0.650944,0
0,0.025078,0,0,0,0,0.00157,0.00157,0,0,0.764699,0.847500,0.979847,0
0,0.027397,0,0,0.013889,0,0,0.027778,0,0,0.508192,0.548004,0.627924,0
0,0.276423,0,0,0.004082,0.004082,0.016327,0.004082,0,0,0.204825,0.201767,0.215394,0
0,0.132075,0,0.019231,0.038462,0.038462,0.038462,0.019231,0,0,0.171024,0.171251,0.186024,0
0,0.090323,0,0,0.009709,0.016181,0.009709,0,0,0,0.485186,0.527904,0.604971,0
0,0.026667,0,0.002227,0.002227,0.002227,0.004454,0.002227,0,0,0.677336,0.748988,0.864103,0
0,0,0,0,0.043478,0.032609,0,0.01087,0,0,0.406197,0.435142,0.497352,0
0,0.162996,0,0,0.030973,0.026549,0.022124,0,0,0,0.192043,0.193306,0.206826,0
0,0.1875,0,0,0,0,0.015873,0,0,0,0.412966,0.450625,0.512994,1
0,0.044231,0,0,0,0,0.001927,0,0,0,0.570200,0.629401,0.726220,0
0,0.019324,0,0,0,0,0.007255,0,0,0,0.758082,0.840734,0.971961,0
0,0,0,0,0.011628,0.011628,0,0.011628,0,0,0.563486,0.612015,0.704096,0
0,0.170909,0,0,0.007299,0.007299,0.010949,0.00365,0,0,0.259739,0.260050,0.286153,0
0,0.032258,0,0,0,0,0.016393,0,0,0,0.247726,0.273256,0.301032,1
0,0.065934,0,0,0.007353,0,0.014706,0,0,0,0.363949,0.396916,0.455354,0
0.007508,0.013514,0,0,0,0,0.003008,0,0,0,0.576731,0.638132,0.734340,1
