@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature24 numeric
@attribute mono_feature33 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature843 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.098837,0.098837,0,0,0,0.076023,0.023392,0,0.257378,0.264469,0.296993,0
0.020558,0.093979,0.022761,0.000734,0,0,0.084497,0.005878,0,0.536028,0.567049,0.666787,0
0.021831,0.004245,0.009703,0,0,0,0.002427,0.001214,0,0.743350,0.796010,0.947899,0
0.058309,0.037901,0.058309,0.002915,0,0,0.023392,0.008772,0,0.395660,0.420358,0.489841,0
0.021627,0.143151,0.144181,0.00309,0,0,0.105155,0.034021,0,0.255410,0.258656,0.285490,0
0.054913,0.034682,0.037572,0,0,0,0.023188,0.011594,0,0.528133,0.562939,0.665274,2
0.003525,0.121034,0.031727,0,0,0,0.114118,0.007059,0,0.440381,0.461604,0.533976,0
0,0.001672,0.000557,0,0,0,0.001115,0.000558,0,0.860890,0.921862,1.098646,0
0,0.145594,0.049808,0,0,0,0.119231,0.015385,0,0.547738,0.576707,0.681067,0
0,0.09185,0.108668,0,0,0,0.059585,0.025907,0,0.296403,0.304803,0.340840,0
0,0.034965,0.020979,0,0,0,0.028169,0,0,0.157486,0.159973,0.167460,0
0,0.035437,0.021041,0.001107,0,0,0.026608,0.005543,0,0.609984,0.648656,0.766966,0
0.010496,0.005248,0.005725,0,0,0,0.003341,0.001909,0,0.719708,0.770211,0.914532,0
0.028169,0.119718,0.091549,0,0,0,0.088339,0.028269,0,0.535181,0.563004,0.665553,0
0,0.22,0.114667,0.002667,0,0,0.184246,0.026702,0,0.243089,0.240050,0.267078,0
0,0.09434,0.062893,0,0,0,0.06962,0.018987,0,0.479491,0.503537,0.588989,0
0,0.059524,0.039286,0.00119,0,0,0.046484,0.008343,0,0.582928,0.617838,0.726584,0
0,0.011121,0.008554,0.000855,0,0,0.008562,0.002568,0,0.894694,0.957663,1.143532,0
0,0.167315,0.066148,0,0,0,0.140625,0.019531,0,0.603965,0.634771,0.751078,0
0,0.095528,0.172764,0,0,0,0.066124,0.024415,0,0.324554,0.333548,0.379530,1
0,0.041667,0.035714,0,0,0,0.02994,0.005988,0,0.458782,0.483540,0.561774,2
0,0.023548,0.043171,0,0,0,0.01414,0.005499,0,0.601001,0.638438,0.752541,1
0.012672,0.013728,0.017423,0.001584,0.000528,0,0.010565,0.002641,0,0.677651,0.724710,0.862444,1
0.043478,0.187291,0.083612,0.003344,0,0,0.161074,0.026846,0,0.453934,0.473143,0.556438,0
0.029151,0.031686,0.043093,0,0,0,0.016497,0.01269,0,0.171876,0.182928,0.195499,0
0.068627,0.083333,0.044118,0.004902,0,0,0.064039,0.009852,0,0.273981,0.284402,0.326391,0
0.013198,0.026396,0.014213,0.001015,0,0,0.021341,0.001016,0,0.441341,0.472687,0.555133,0
0.002604,0.003472,0.003472,0,0,0,0.001738,0.001738,0,0.836552,0.895946,1.068341,0
0.017241,0.12069,0.103448,0,0,0,0.086505,0.034602,0,0.436040,0.456980,0.535253,0
0,0.078889,0.122222,0,0,0,0.05673,0.017798,0,0.246967,0.250804,0.277014,0
0,0.062241,0.041494,0,0,0,0.05,0.008333,0,0.564603,0.597254,0.704274,1
0,0.079487,0.031624,0.000855,0,0,0.065868,0.010265,0,0.634690,0.672729,0.794893,2
0,0.006809,0.007782,0,0,0,0.003895,0.002921,0,0.881354,0.943429,1.126204,1
0,0.064639,0.117871,0,0,0,0.041985,0.022901,0,0.636790,0.673963,0.797161,0
0,0.086705,0.15896,0,0,0,0.061716,0.021215,0,0.315032,0.323654,0.366572,2
0,0.063953,0.162791,0.005814,0,0,0.023392,0.040936,0,0.405150,0.420362,0.489215,0
0.007048,0.068128,0.031323,0.000783,0,0,0.061129,0.003918,0,0.602861,0.639390,0.755799,1
0,0.02049,0.02049,0.001499,0,0,0.0165,0.003,0,0.847435,0.905754,1.080563,2
0,0.084175,0.090909,0,0,0,0.054054,0.023649,0,0.652240,0.690574,0.818482,1
0,0.079399,0.08691,0.001073,0,0,0.051557,0.022556,0,0.224542,0.227086,0.247935,1
0.127551,0.015306,0.05102,0,0,0,0.005128,0.010256,0,0.155554,0.159646,0.170711,0
0.001241,0.055831,0.022953,0.00062,0,0,0.047796,0.006828,0,0.629423,0.670107,0.791944,0
0.004077,0.028169,0.01149,0.000371,0,0,0.02373,0.003708,0,0.792678,0.847037,1.009168,2
0,0.086957,0.090301,0,0,0,0.060403,0.026846,0,0.663942,0.702462,0.833520,0
0.031712,0.063425,0.08351,0,0,0,0.037037,0.017989,0,0.210529,0.218206,0.236594,0
0.02809,0,0,0,0,0,0,0,0,0.385254,0.408227,0.468986,0
0,0.081778,0.020444,0,0,0,0.071174,0.007117,0,0.620140,0.656539,0.775944,0
0,0.003759,0.004699,0,0,0,0.002351,0.00141,0,0.859705,0.919975,1.096908,0
0,0.114754,0.094262,0,0,0,0.08642,0.024691,0,0.594110,0.625764,0.740125,0
0,0.125152,0.104496,0,0,0,0.096107,0.026764,0,0.249018,0.251023,0.278569,0
0.011236,0.129213,0.106742,0.005618,0,0,0.107345,0.022599,0,0.251020,0.255230,0.285995,0
0,0.090997,0.050339,0.000968,0,0,0.081395,0.005814,0,0.585027,0.617615,0.727689,0
0.000666,0.01932,0.020653,0,0,0,0.015333,0.002,0,0.781618,0.834844,0.993113,0
0.022581,0.158065,0.096774,0,0,0,0.126214,0.02589,0,0.478219,0.501048,0.590277,0
0,0.174142,0.117414,0.001319,0,0,0.136063,0.025099,0,0.248645,0.249580,0.276049,0
0,0.032864,0.00939,0,0,0,0.023585,0.004717,0,0.506315,0.535513,0.628160,1
0,0.053026,0.006916,0,0,0,0.04729,0.004037,0,0.672045,0.714830,0.847156,0
0,0.000725,0.003261,0,0,0,0,0.000725,0,0.852787,0.912676,1.087812,0
0,0.106529,0.051546,0,0,0,0.086207,0.017241,0,0.664914,0.702822,0.834451,0
0,0.106638,0.152339,0,0,0,0.065359,0.040305,0,0.308973,0.315974,0.359082,0
0,0.067308,0.052885,0,0,0,0.043478,0.014493,0,0.327254,0.348373,0.401752,1
0,0.118681,0.024176,0,0,0,0.10341,0.008801,0,0.479347,0.502201,0.588716,0
0.013958,0.010806,0.022963,0.0009,0,0,0.006757,0.002703,0.00045,0.674077,0.721104,0.856118,1
0.020057,0.091691,0.094556,0.008596,0,0,0.063218,0.020115,0,0.416923,0.438047,0.512963,0
0,0.080717,0.085202,0,0,0,0.058559,0.022523,0,0.295002,0.303370,0.344919,0
0.023474,0.061033,0.084507,0.00939,0,0,0.042453,0.014151,0,0.057514,0.058599,0.051225,1
0.045952,0.06674,0.028446,0,0,0,0.05805,0.003286,0,0.297311,0.318113,0.363146,0
0.05807,0.005944,0.012346,0.000457,0,0,0.003202,0.002287,0,0.509430,0.546588,0.646227,0
0.030418,0.060837,0.064639,0,0,0,0.045802,0.01145,0,0.409696,0.435611,0.509256,0
0,0.10962,0.144295,0.002237,0,0,0.073908,0.031355,0,0.309998,0.317704,0.359526,0
0,0.105023,0.091324,0.004566,0,0,0.073394,0.027523,0,0.552358,0.581067,0.685874,0
0,0.085619,0.038238,0.001663,0,0,0.072379,0.009151,0,0.622033,0.658263,0.777699,0
0.004773,0.025776,0.034845,0.001909,0,0,0.019102,0.004776,0,0.773723,0.826059,0.983915,0
0,0.076642,0.113139,0,0,0,0.062271,0.014652,0,0.643875,0.680590,0.806900,0
0.011677,0.117834,0.092357,0,0,0,0.089267,0.020191,0,0.260564,0.265015,0.293759,0
0,0.102151,0.129032,0,0,0,0.081081,0.021622,0,0.454891,0.473078,0.553351,1
0,0.030023,0.06582,0,0,0,0.020809,0.008092,0,0.406101,0.426786,0.491923,0
0.005031,0.022918,0.020123,0.000559,0,0,0.017897,0.003356,0,0.799473,0.854087,1.017893,0
0,0.119522,0.131474,0.003984,0,0,0.092,0.028,0,0.554903,0.582688,0.686620,0
0.002347,0.156103,0.097418,0.004695,0,0,0.128085,0.019976,0,0.294930,0.300648,0.342042,0
0,0.085,0.06,0,0,0,0.050251,0.020101,0,0.432177,0.453805,0.532309,0
0,0.113171,0.02439,0.000976,0,0,0.105469,0.004883,0,0.499963,0.523858,0.616234,0
0.005213,0.017062,0.016588,0,0,0,0.01138,0.004742,0,0.789275,0.843999,1.005864,0
0,0.138973,0.063444,0,0,0,0.118182,0.015152,0,0.668150,0.705485,0.837293,0
0,0.028019,0.061836,0.001932,0,0,0.012573,0.011605,0,0.314779,0.327801,0.369713,0
0,0.078704,0.055556,0,0,0,0.060465,0.004651,0,0.390065,0.408794,0.475664,0
0,0.098843,0.042061,0.001052,0,0,0.083158,0.013684,0,0.503268,0.527682,0.619091,0
0.002912,0.012231,0.01689,0,0,0,0.006993,0.004662,0,0.827601,0.884938,1.055281,0
0,0.13355,0.061889,0,0,0,0.107843,0.019608,0,0.639419,0.674751,0.800382,0
0,0.07394,0.066727,0.001803,0,0,0.054152,0.016245,0,0.309201,0.319144,0.361854,0
0,0.049383,0.104938,0,0,0,0.031056,0.012422,0,0.392496,0.411310,0.474716,0
0,0.06619,0.018784,0,0,0,0.057296,0.004476,0,0.552866,0.585143,0.688747,1
0.017449,0.011421,0.019036,0.000317,0,0,0.007617,0.002222,0,0.745135,0.797281,0.949822,2
0,0.069401,0.069401,0,0,0,0.044304,0.015823,0,0.573304,0.607673,0.718183,0
0,0.096296,0.10582,0.001058,0,0,0.066737,0.027542,0,0.304495,0.312383,0.355558,1
0.003802,0.087452,0.08365,0,0,0,0.057252,0.026718,0,0.520312,0.548583,0.645128,0
0.00625,0.11875,0.02125,0,0,0,0.110138,0.003755,0,0.458426,0.479549,0.560259,0
0.016839,0.016192,0.024611,0.000648,0,0,0.009721,0.005185,0,0.651579,0.696295,0.826538,0
0,0.127413,0.065637,0,0,0,0.104651,0.015504,0,0.601655,0.634078,0.750669,0
0.007928,0.075878,0.080408,0.003398,0,0,0.05102,0.013605,0,0.200483,0.207040,0.224839,0
0,0.096273,0.10559,0,0,0,0.068536,0.028037,0,0.576357,0.607162,0.716893,1
0,0.1339,0.03932,0.001063,0,0,0.120213,0.010638,0,0.470344,0.491145,0.575684,0
0.001793,0.016139,0.019127,0,0,0,0.010167,0.005383,0,0.797568,0.852974,1.014809,0
0,0.145897,0.06383,0.00304,0,0,0.118902,0.02439,0,0.649531,0.684598,0.812005,0
0,0.091434,0.069297,0.000962,0,0,0.069364,0.014451,0,0.293280,0.301550,0.341928,0
0.010204,0.081633,0.086735,0,0,0,0.046154,0.030769,0,0.275659,0.285723,0.326848,0
0.007476,0.086256,0.028752,0.000575,0,0,0.078251,0.006904,0,0.434404,0.458230,0.535573,0
0.019898,0.014213,0.015918,0,0,0,0.00967,0.003413,0,0.658540,0.704227,0.836266,0
0,0.183333,0.083333,0,0,0,0.155989,0.02507,0,0.594701,0.624732,0.739771,0
0.012036,0.051153,0.056169,0.001003,0,0,0.033133,0.012048,0,0.259806,0.271185,0.303248,0
0.039427,0.043011,0.057348,0,0,0,0.010791,0.017986,0,0.357683,0.379547,0.441226,1
0.061493,0.032211,0.024158,0.000732,0,0,0.025641,0.004396,0,0.222312,0.240528,0.271803,0
0.048689,0.01573,0.021723,0.001498,0,0,0.007496,0.005247,0,0.478725,0.512593,0.604055,0
0.097403,0.090909,0.068182,0.003247,0,0,0.071661,0.016287,0,0.387157,0.408613,0.477100,0
0,0.060706,0.093819,0,0,0,0.041989,0.016575,0,0.239805,0.243888,0.268575,0
0,0.085,0.125,0,0,0,0.045226,0.030151,0,0.410880,0.429734,0.500683,0
0.020979,0.035839,0.030594,0,0,0,0.027122,0.006124,0,0.488438,0.518231,0.608390,0
0.015199,0.017733,0.014566,0,0,0,0.014575,0.002535,0,0.782712,0.836798,0.997788,0
0,0.169435,0.079734,0.006645,0,0,0.136667,0.02,0,0.624361,0.657098,0.779385,0
0,0.087666,0.086646,0.001019,0,0,0.064286,0.018367,0,0.339109,0.351204,0.402997,0
0,0.11399,0.098446,0,0,0,0.0625,0.03125,0,0.370547,0.385543,0.447616,0
0.008989,0.122472,0.01573,0.001124,0,0,0.113611,0.00225,0,0.479340,0.502109,0.588676,0
0,0.022059,0.029412,0,0,0,0.014713,0.005977,0,0.802199,0.856353,1.020353,1
0,0.145695,0.056291,0,0,0,0.122924,0.016611,0,0.640751,0.675851,0.801415,0
0,0.04626,0.082677,0.000984,0,0,0.025616,0.016749,0,0.349368,0.363605,0.416786,0
0,0.148325,0.172249,0.014354,0,0,0.120192,0.028846,0,0.474582,0.493215,0.575565,0
0,0.105473,0.033831,0,0,0,0.09761,0.003984,0,0.576619,0.607760,0.716008,0
0.002101,0.02381,0.02591,0.0007,0,0,0.017519,0.003504,0,0.781910,0.834550,0.993348,0
0,0.153846,0.100334,0,0,0,0.124161,0.026846,0,0.611037,0.641676,0.759905,0
0,0.131929,0.0898,0,0,0,0.103219,0.021088,0,0.245402,0.248004,0.271566,0
0,0.166667,0.083333,0,0,0,0.11976,0.035928,0,0.361442,0.372564,0.431401,0
0,0.059774,0.021002,0,0,0,0.054141,0.00404,0,0.698879,0.742367,0.881059,2
0,0.012573,0.018859,0,0,0,0.007741,0.00387,0,0.822128,0.878407,1.046977,1
0,0.141176,0.073529,0,0,0,0.117994,0.017699,0,0.656759,0.692445,0.820947,0
0,0.070159,0.058934,0,0,0,0.048689,0.016854,0,0.313102,0.325777,0.368090,0
0.020833,0.182292,0.088542,0,0,0,0.141361,0.031414,0,0.168588,0.167313,0.182746,0
0.004662,0.125874,0.045455,0.001166,0,0,0.114352,0.008168,0,0.426512,0.444928,0.519828,0
0.017849,0.010984,0.014188,0,0,0,0.006868,0.003205,0,0.792263,0.847070,1.009268,0
0,0.140523,0.081699,0,0,0,0.111475,0.022951,0,0.635929,0.670115,0.794829,0
0,0.103563,0.094655,0.002227,0,0,0.074693,0.024526,0,0.251250,0.255666,0.282880,0
0,0.253521,0.105634,0,0,0,0.205674,0.035461,0,0.276726,0.276149,0.311434,1
0.010536,0.10728,0.037356,0,0,0,0.089166,0.009588,0,0.415782,0.436228,0.508953,0
0,0.042305,0.040117,0.002188,0,0,0.030657,0.008029,0,0.767185,0.817179,0.972528,0
0,0.047297,0.070946,0,0,0,0.033898,0.013559,0,0.625497,0.661878,0.783373,0
0,0.076121,0.072993,0.001043,0,0,0.05428,0.016701,0,0.333624,0.346351,0.395217,1
0.062857,0.051429,0.108571,0,0,0,0.034483,0.017241,0,0.233805,0.246410,0.276914,0
0.019555,0.065725,0.028789,0.000543,0,0,0.054348,0.007609,0,0.626554,0.665841,0.787067,0
0.020916,0.011839,0.014996,0.000789,0.000395,0,0.007501,0.002369,0,0.676304,0.723452,0.859592,1
0,0.070896,0.104478,0.003731,0,0,0.044944,0.022472,0,0.613287,0.647696,0.767179,0
