@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0.03125,0,0.542481,0.574263,0.661247,1
9,0,0,0,0.003552,0,0.428697,0.452520,0.521782,0
9,0.000997,0,0,0.003992,0,0.768066,0.827065,0.956928,0
9,0,0,0,0.02551,0,0.617094,0.654900,0.757328,0
9,0,0,0,0.014469,0,0.266993,0.277029,0.309748,0
9,0,0,0,0.017241,0,0.243756,0.252562,0.281931,0
9,0.004794,0,0,0.004798,0,0.397564,0.422906,0.483938,0
9,0.017062,0,0,0.001898,0,0.626799,0.675061,0.780020,0
9,0,0,0,0.046512,0,0.564781,0.597443,0.690557,0
9,0.010033,0,0,0.01005,0,0.234746,0.246555,0.270087,0
9,0.035928,0,0,0.006024,0,0.325812,0.346752,0.393290,1
9,0.046398,0,0,0.003667,0,0.203870,0.222000,0.243697,0
9,0.033708,0,0,0.00375,0,0.446344,0.480766,0.551767,0
9,0.091892,0,0,0.021739,0,0.360077,0.382389,0.436042,0
