@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1039 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.021627,0.143151,0.048404,0,0.030928,0.006186,0.037113,0,0.256335,0.256879,0.280943,0
0.054913,0.034682,0.057803,0,0.005797,0.005797,0.02029,0,0.531759,0.555066,0.644846,2
0.003525,0.121034,0.036428,0,0.004706,0.014118,0.027059,0,0.442930,0.456393,0.519336,0
0,0.001672,0.010033,0,0,0.002231,0.006693,0,0.867262,0.908118,1.062421,0
0,0.145594,0.065134,0,0.019231,0.007692,0.019231,0,0.551281,0.569185,0.661526,0
0,0.09185,0.117723,0,0.031088,0.027202,0.059585,0,0.297682,0.302457,0.334759,0
0,0.034965,0.27972,0,0,0.035211,0.056338,0,0.157682,0.160359,0.168442,0
0,0.035437,0.062016,0,0.004435,0.011086,0.022173,0,0.614192,0.639792,0.743788,0
0.010496,0.005248,0.016221,0,0.001432,0.005251,0.008115,0,0.724933,0.758965,0.884720,0
0.028169,0.119718,0.003521,0,0.028269,0,0,0,0.538723,0.555328,0.646246,0
0,0.22,0.197333,0,0.026702,0.022697,0.056075,0,0.243717,0.239255,0.265787,0
0,0.09434,0.050314,0,0.012658,0.025316,0.082278,0,0.482495,0.497298,0.572832,0
0,0.059524,0.039286,0,0.009535,0.008343,0.0441,0,0.586822,0.609613,0.704794,0
0,0.011121,0.003422,0,0.002568,0.000856,0.004281,0,0.901362,0.943237,1.105772,0
0,0.167315,0.003891,0,0.015625,0,0.011719,0,0.607949,0.626246,0.729007,0
0,0.095528,0.075203,0,0.02238,0.013225,0.046796,0,0.326154,0.330307,0.372247,1
0,0.041667,0.10119,0,0.011976,0.005988,0.053892,0,0.461584,0.477927,0.546910,2
0,0.023548,0.076923,0,0.006284,0.009427,0.043991,0,0.605089,0.629857,0.730302,1
0.012672,0.013728,0.003168,0,0.002641,0.001057,0.003698,0,0.682593,0.713988,0.834321,1
0.043478,0.187291,0,0,0.02349,0,0,0,0.456720,0.467126,0.541094,0
0.029151,0.031686,0.069708,0,0.01269,0.01269,0.031726,0,0.172360,0.181875,0.191265,0
0.068627,0.083333,0.186275,0,0.009852,0.019704,0.059113,0,0.275318,0.281919,0.320360,0
0.013198,0.026396,0.075127,0,0.002033,0.003049,0.005081,0,0.444249,0.466444,0.538097,0
0.002604,0.003472,0.006944,0,0.000869,0.003475,0.003475,0,0.842757,0.882524,1.033072,0
0.017241,0.12069,0.02069,0,0.031142,0,0.00692,0,0.438712,0.451136,0.520439,0
0,0.078889,0.138889,0,0.01891,0.026696,0.046719,0,0.247867,0.249373,0.273916,0
0,0.062241,0.053942,0,0.004167,0.016667,0.033333,0,0.568388,0.589315,0.683753,1
0,0.079487,0.061538,0,0.005988,0.006843,0.019675,0,0.638986,0.663665,0.771098,2
0,0.006809,0.003891,0,0.000974,0.000974,0.009737,0,0.887918,0.929237,1.089064,1
0,0.064639,0.003802,0,0.022901,0.003817,0.034351,0,0.641186,0.664456,0.773197,0
0,0.086705,0.105973,0,0.020251,0.018322,0.041466,0,0.316521,0.320749,0.360030,2
0,0.063953,0.011628,0,0.035088,0,0.005848,0,0.407614,0.415340,0.477941,0
0.007048,0.068128,0.065779,0,0.004702,0.008621,0.012539,0,0.606943,0.630757,0.733283,1
0,0.02049,0.007996,0,0.004,0.001,0.002,0,0.853690,0.892248,1.045368,2
0,0.084175,0.037037,0,0.023649,0.006757,0.013514,0,0.656737,0.680902,0.793944,1
0,0.079399,0.103004,0,0.019334,0.025779,0.116004,0,0.225294,0.225993,0.245246,1
0,0.152284,0.15736,0,0.010204,0.010204,0.010204,0,0.418112,0.426185,0.493787,2
0.000723,0.095445,0.110629,0,0.000724,0.007236,0.019537,0,0.472153,0.488039,0.562633,1
0.02725,0.004955,0.009083,0,0.000413,0.002478,0.008261,0,0.688938,0.721857,0.841151,0
