@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.014039,0.015119,0,0,0.001081,0,0.620212,0.650767,0.763925,0
0,0.032258,0,0,0.019481,0,0.566309,0.587802,0.689738,0
0.007547,0.145283,0,0,0.015123,0,0.176846,0.181468,0.193552,0
0,0.041451,0,0,0.03125,0,0.546962,0.566149,0.661247,1
0,0.051418,0,0,0.003552,0,0.431976,0.446287,0.521782,0
0.000997,0.004985,0,0,0.003992,0,0.774631,0.813470,0.956928,0
0,0.010152,0,0,0.02551,0,0.622225,0.645200,0.757328,0
0,0.173355,0,0,0.014469,0,0.268620,0.274133,0.309748,0
0,0.08547,0,0,0.017241,0,0.245473,0.250016,0.281931,0
0.004794,0.061361,0,0,0.004798,0,0.400525,0.416810,0.483938,0
0.017062,0.02654,0,0,0.001898,0,0.632117,0.663990,0.780020,0
0,0,0,0,0.046512,0,0.569399,0.588714,0.690557,0
0.010033,0.158863,0,0,0.01005,0,0.235926,0.244034,0.270087,0
0.035928,0.017964,0,0,0.006024,0,0.328172,0.342093,0.393290,1
0.046398,0.021978,0,0,0.003667,0,0.204697,0.219018,0.243697,0
0.033708,0.013733,0,0,0.00375,0,0.449919,0.473065,0.551767,0
0.091892,0.010811,0,0,0.021739,0,0.362689,0.377033,0.436042,0
0,0.209945,0,0,0.01107,0,0.217752,0.219201,0.240062,0
0,0.041667,0,0,0.02521,0,0.376421,0.386893,0.446296,0
0.017493,0.06414,0,0,0.00292,0,0.453387,0.473757,0.551424,0
0.01056,0.002112,0,0,0.003171,0,0.755827,0.793501,0.935545,0
0,0,0,0,0.033333,0,0.600731,0.622828,0.731438,0
0,0.20034,0,0,0.015306,0,0.320252,0.328008,0.372716,0
0,0.077586,0,0,0.017391,0,0.340783,0.349206,0.400672,0
0.007491,0.073034,0,0,0.005629,0,0.448118,0.464705,0.542838,0
0,0.015314,0,0,0.006897,0,0.776924,0.814565,0.959575,1
0,0.016575,0,0,0.016667,0,0.613453,0.637736,0.749818,0
0,0.167213,0,0,0.004926,0,0.328263,0.337229,0.383764,0
0,0.008,0,0,0.024194,0,0.454745,0.463199,0.535538,0
0,0.07131,0,0,0.004983,0,0.540496,0.562029,0.657264,0
0.001167,0.008168,0,0,0.007009,0,0.754083,0.790730,0.931108,0
0,0,0,0,0.02809,0,0.577017,0.595987,0.699149,0
0,0.168207,0,0,0.024074,0,0.217894,0.218419,0.238660,0
0,0.11,0,0,0.020202,0,0.327685,0.334067,0.383080,0
0,0.045791,0,0,0.006065,0,0.671217,0.701950,0.825421,2
0,0.02498,0,0,0.003226,0,0.798414,0.837821,0.987194,1
0,0.009804,0,0,0.029557,0,0.627657,0.651072,0.764608,0
0,0.177847,0,0,0.023438,0,0.290867,0.299786,0.336572,0
0.017391,0.095652,0,0,0.026316,0,0.148822,0.146321,0.158576,0
0.003883,0.052427,0,0,0.007782,0,0.389351,0.401798,0.468338,0
0.016018,0.022121,0,0,0.003817,0,0.768004,0.806423,0.949986,0
0,0.005464,0,0,0.021978,0,0.610864,0.633377,0.743174,0
0,0.17658,0,0,0.029795,0,0.223640,0.224990,0.246829,0
0,0.023529,0,0,0.02381,0,0.235510,0.233303,0.264395,1
0.007987,0.044728,0,0,0.0064,0,0.384655,0.399493,0.463840,0
0,0.010949,0,0,0.01218,0,0.741531,0.776029,0.913400,0
0,0.00565,0,0,0,0,0.602617,0.626687,0.734674,0
0,0.194783,0,0,0.013937,0,0.314578,0.323191,0.365723,1
0.057143,0.07619,0,0,0.009615,0,0.218723,0.227470,0.252105,0
0.01721,0.053442,0,0,0.00816,0,0.598057,0.625526,0.732177,0
0.013158,0.008553,0,0.001317,0.003292,0,0.641387,0.673851,0.792148,1
0,0.00625,0,0,0.025157,0,0.589232,0.611490,0.716873,0
