@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature12 numeric
@attribute bi_feature165 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1384 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.002,0,0,0,0,0.707159,0.771614,0.901894,0
0,0.020408,0,0,0,0.010309,0.020619,0.010309,0.010309,0,0,0.566542,0.606964,0.706328,0
0,0.006431,0,0,0,0,0.003226,0,0,0.006452,0,0.243167,0.252984,0.278647,0
0,0.034483,0,0,0,0,0,0,0.017544,0,0,0.205223,0.210917,0.229868,0
0,0.019194,0,0,0,0,0.007692,0.003846,0.005769,0.005769,0,0.338922,0.365636,0.420802,0
0.009488,0,0,0,0,0,0,0,0,0.001901,0,0.568129,0.619536,0.721685,0
0,0.037037,0,0,0,0,0.037383,0.018692,0.009346,0,0,0.512423,0.546032,0.634417,0
0.003344,0.013378,0,0,0,0,0.010067,0.003356,0.003356,0,0,0.203099,0.213206,0.229969,0
0.012048,0,0,0,0,0,0,0,0,0,0,0.268365,0.285318,0.319546,1
0.02934,0.002445,0,0,0,0,0.002451,0,0,0,0,0.174858,0.192279,0.210619,0
0.0075,0.0175,0,0,0,0.005013,0,0.010025,0.007519,0,0,0.388202,0.422151,0.489254,0
0.076087,0.01087,0,0,0,0,0.021978,0.010989,0,0,0,0.305123,0.324493,0.370812,0
0,0.01107,0,0,0,0,0.007407,0.007407,0,0,0,0.193154,0.192451,0.204774,0
0,0.016667,0,0,0,0,0,0,0,0,0,0.335917,0.350629,0.393401,0
0.008746,0.005831,0,0,0,0,0,0,0,0,0,0.373739,0.403946,0.465375,0
0.004228,0,0,0,0.002119,0,0.002119,0,0,0,0,0.682309,0.744303,0.870939,0
0,0.033333,0,0,0,0.011236,0.033708,0.022472,0.011236,0,0,0.534728,0.573281,0.667722,0
0,0.017007,0,0,0,0,0.003413,0.003413,0.003413,0.003413,0,0.278122,0.290631,0.323108,0
0,0,0,0,0,0,0,0,0,0,0,0.293514,0.307971,0.344791,0
0.003745,0.007491,0,0,0,0.003759,0.011278,0.007519,0,0,0,0.377845,0.407285,0.471433,0
0,0.004594,0,0,0,0,0,0.001534,0,0.001534,0,0.709492,0.772176,0.902167,1
0,0.022222,0,0,0,0,0.022472,0.022472,0,0,0,0.539882,0.581966,0.677651,0
0,0.022951,0,0,0,0.003289,0,0.003289,0.009868,0.003289,0,0.290974,0.304964,0.340525,0
0,0.080645,0,0,0,0.016393,0.032787,0.016393,0.032787,0,0,0.394481,0.411023,0.469405,0
0,0.013289,0,0,0,0,0.01,0.013333,0,0.003333,0,0.474035,0.511841,0.594215,0
0,0.009346,0,0,0,0.004684,0.002342,0.004684,0.002342,0.002342,0,0.678877,0.738946,0.863504,0
0,0.022472,0,0,0,0,0.034091,0.011364,0,0.011364,0,0.521264,0.554340,0.643870,0
0,0.007407,0,0,0,0,0.026022,0.003717,0,0.003717,0,0.187992,0.189450,0.201515,0
0,0.02,0,0,0,0,0.020408,0,0,0,0,0.292131,0.304525,0.341479,0
0,0.005391,0,0,0,0,0.006748,0.005398,0,0.002699,0,0.605463,0.657724,0.767613,2
0,0,0,0,0,0,0,0,0,0,0,0.731156,0.796312,0.931034,1
0,0.009804,0,0,0,0,0.039604,0.009901,0,0,0,0.571322,0.611962,0.712074,0
0,0.003125,0,0,0,0,0.003135,0,0,0.003135,0,0.265464,0.277681,0.306079,0
0,0.017544,0,0,0,0,0.035714,0,0,0,0,0.120072,0.117320,0.119286,0
0,0.007782,0,0,0,0,0.015625,0.007812,0,0.007812,0,0.314033,0.335519,0.386824,0
0.012214,0.001527,0,0,0,0,0,0,0,0.001529,0,0.698977,0.762657,0.891625,0
0,0.032967,0,0,0,0.022222,0.022222,0.011111,0,0,0,0.555772,0.593625,0.689157,0
0,0.026022,0,0,0,0,0.018657,0.003731,0.007463,0.003731,0,0.201112,0.202023,0.214766,0
0,0,0,0,0,0,0.04878,0,0,0,0,0.171718,0.171714,0.188087,1
0.003195,0.00639,0,0,0,0,0,0,0,0,0,0.327484,0.352184,0.405039,0
0,0.017032,0,0,0,0.002439,0.002439,0.014634,0.002439,0,0,0.674110,0.730455,0.852885,0
0,0,0,0,0,0,0,0,0,0,0,0.537740,0.577190,0.670709,0
