@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute child_feature1 numeric
@attribute child_feature2 numeric
@attribute child_feature3 numeric
@attribute child_feature4 numeric
@attribute child_feature5 numeric
@attribute child_feature6 numeric
@attribute child_feature7 numeric
@attribute child_feature8 numeric
@attribute child_feature9 numeric
@attribute child_feature10 numeric
@attribute child_feature11 numeric
@attribute child_feature12 numeric
@attribute child_feature13 numeric
@attribute child_feature14 numeric
@attribute child_feature15 numeric
@attribute child_feature16 numeric
@attribute child_feature17 numeric
@attribute child_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
6,0.14434,0.024367,1.482349,4.063057,-0.015799,-0.278789,0.740639,4.440238,-0.399267,0.901334,1.820967,7.33064,0.355097,0.001278,0.542645,3.730723,0.203182,10,0.143691,0.130635,1.051524,5.417426,0.075317,0.091797,1.020101,5.027961,0.079478,-0.039096,1.074545,4.684798,-0.093131,-0.02706,0.027853,0.743928,-0.007488,1.015321,0,0
2,0.387398,0.287437,1.017113,4.036506,0.375358,0.109823,1.155282,4.651916,0.145109,0.025922,0.238783,2.157126,-0.011004,-0.095174,0.169128,1.90862,0.01923,2,0.091015,-1.066547,0.91305,3.041321,-0.750305,-0.16707,0.221922,1.986236,-0.007324,-0.435448,0.052541,0.871945,-0.519675,0.009249,0.013407,0.37068,0.057324,0.975215,0,0
7,0.696705,-0.123072,0.822972,3.97339,-0.171707,-0.241962,0.64802,4.47678,-0.214224,0.03003,0.322691,2.944603,0.104928,0.467938,0.590916,4.164966,0.549249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876216,0,0
2,0.340513,0.013547,1.180527,4.870147,-0.471247,0.517808,1.917266,11.381753,0.611245,-0.813448,0.049992,1.337569,-0.846817,-0.063584,0.239492,2.037945,-0.072634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.592496,0,0
8,0.385429,-0.056102,0.923391,4.162634,-0.238569,0.086128,0.845559,6.613522,0.036242,-0.243342,1.066866,4.245354,-0.387119,-0.195036,0.78248,4.707634,-0.205857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89012,0,0
3,0.086869,0.307867,0.667549,3.268091,0.255279,-0.118312,0.847352,4.464629,-0.261149,0.012804,0.390977,3.464369,0.015153,-0.796061,1.751431,8.553085,-0.328277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73358,0,0
1,0.261878,-0.23608,0.521864,2.913419,-0.46259,0.517089,0.774337,4.141141,0.654533,-0.564407,0.087758,1.29693,-0.639202,-0.163514,0.235032,2.139417,-0.125007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029836,0,0
7,0.726848,0.008568,1.123675,4.193045,-0.23811,-0.189139,0.878241,5.6931,-0.344348,0.371667,1.017549,8.326383,0.131181,0.340122,0.935429,7.861441,0.507391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893956,0,0
2,0.509915,0.077831,0.728022,3.901367,0.026625,0.040381,1.899567,11.331306,0.126273,0.066024,0.127262,1.748821,-0.039258,0.119193,0.293357,1.869458,0.311241,1,0.111898,-0.448428,1.035404,3.729467,-0.368739,-0.247031,0.580798,3.553877,-0.326631,0.885151,0.107173,1.028967,0.775487,0.019476,0.004332,0.26492,0.040491,1.15313,0,0
14,0.539812,-0.292841,0.803326,3.400645,-0.394718,-0.031855,0.96668,5.501151,-0.044659,0.042589,1.735619,13.853529,-0.082004,-0.006283,1.44407,15.541604,0.119228,1,0.028175,0.619415,0.311799,2.369135,0.71593,0.305507,0.693926,4.842593,0.240544,-0.88267,0.124176,0.972232,-0.809483,-0.086732,0.003749,0.25643,-0.077737,1.245659,1,0
4,0.119048,0.309557,1.307886,3.462795,0.190525,0.013188,0.955214,4.417307,-0.048502,-0.07117,0.740945,4.820887,-0.202385,-0.140069,0.368575,4.712312,-0.219534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705422,0,0
2,0.377163,0.992999,0.613981,3.147476,1.243182,0.473762,1.242874,4.426832,0.615991,-0.373699,0.156338,1.55332,-0.413287,-0.77848,0.458562,3.028137,-0.895342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986594,0,0
6,0.721119,0.148549,0.971653,3.393658,0.23785,-0.050757,0.789429,6.303151,-0.135163,0.01368,0.266547,2.979659,-0.063146,0.176238,0.599524,3.628855,0.337767,1,0.047021,-0.572709,1.170276,3.050264,-0.37065,-0.522021,0.720809,4.087981,-0.537217,0.544599,1.366164,3.238022,0.653765,0.040313,0.009333,0.541275,0.080636,0.858128,0,0
2,0.532399,0.268802,0.702459,4.657121,0.412299,0.034983,1.004745,6.206593,0.323318,-0.266402,0.333814,2.567907,-0.155269,-0.296734,0.523485,2.869011,-0.119693,1,0.115587,-0.175732,0.029197,0.637667,-0.264821,-0.41967,1.391514,3.823312,-0.474667,-0.372543,0.00019,0.073912,-0.364974,-0.484132,0.000365,0.079731,-0.496831,0.932631,0,0
8,0.352749,0.073706,1.010864,4.515958,-0.017962,0.222899,1.313821,4.943037,0.480606,0.234858,1.97567,7.394462,0.23077,0.267203,1.57793,5.258959,0.541063,3,0.061009,0.113974,1.451046,4.642393,-0.374707,0.235587,0.923575,4.138486,0.498099,-0.054784,0.319019,1.519021,-0.296159,0.032463,0.200957,1.260615,-0.094257,1.012956,0,0
7,0.137686,-0.551595,0.91049,3.946242,-0.917993,-0.677561,0.779567,3.980183,-0.784594,-0.141245,0.295523,2.589235,-0.346156,0.35154,0.704358,4.230547,0.178654,2,0.016807,-0.798089,0.201512,1.541751,-0.638431,-0.435944,0.779949,2.920489,-0.063048,-0.344698,0.190742,1.705075,-0.604551,-0.143601,0.054166,0.980577,-0.277424,1.018943,0,0
